curie,label,retrieved_at
SPDX:MIT,,2025-10-19T08:07:15.796968
SPDX:Apache-2.0,,2025-10-19T08:07:15.797104
SPDX:BSD-3-Clause,,2025-10-19T08:07:15.797207
SPDX:BSD-2-Clause,,2025-10-19T08:07:15.797302
SPDX:ISC,,2025-10-19T08:07:15.797396
SPDX:GPL-3.0,,2025-10-19T08:07:15.797482
SPDX:GPL-2.0,,2025-10-19T08:07:15.797567
SPDX:LGPL-3.0,,2025-10-19T08:07:15.797656
SPDX:LGPL-2.1,,2025-10-19T08:07:15.797739
SPDX:AGPL-3.0,,2025-10-19T08:07:15.797822
SPDX:MPL-2.0,,2025-10-19T08:07:15.797913
SPDX:CC-BY-4.0,,2025-10-19T08:07:15.797995
SPDX:CC-BY-SA-4.0,,2025-10-19T08:07:15.798077
SPDX:CC-BY-NC-4.0,,2025-10-19T08:07:15.798165
SPDX:CC-BY-NC-SA-4.0,,2025-10-19T08:07:15.798246
SPDX:CC-BY-ND-4.0,,2025-10-19T08:07:15.798330
SPDX:CC0-1.0,,2025-10-19T08:07:15.798419
SPDX:Unlicense,,2025-10-19T08:07:15.798500
