gameweek,team_rank,team_name,matchs_played,matchs_won,matchs_drawn,matchs_lost,team_goals_for,team_goals_against,team_goals_difference,team_points
1,1,real_madrid,1,1,0,0,3,0,3,3
1,2,barcelona,1,1,0,0,2,0,2,3
1,3,real_sociedad,1,1,0,0,3,2,1,3
1,4,leganes,1,1,0,0,1,0,1,3
1,5,levante,1,1,0,0,1,0,1,3
1,6,eibar,1,1,0,0,1,0,1,3
1,7,valencia,1,1,0,0,1,0,1,3
1,8,atletico_madrid,1,0,1,0,2,2,0,1
1,9,girona,1,0,1,0,2,2,0,1
1,10,espanyol,1,0,1,0,1,1,0,1
1,11,sevilla,1,0,1,0,1,1,0,1
1,12,athletic_club,1,0,1,0,0,0,0,1
1,13,getafe,1,0,1,0,0,0,0,1
1,14,celta_vigo,1,0,0,1,2,3,-1,0
1,15,alaves,1,0,0,1,0,1,-1,0
1,16,malaga,1,0,0,1,0,1,-1,0
1,17,las_palmas,1,0,0,1,0,1,-1,0
1,18,villarreal,1,0,0,1,0,1,-1,0
1,19,real_betis,1,0,0,1,0,2,-2,0
1,20,deportivo_la_coruna,1,0,0,1,0,3,-3,0
2,1,real_sociedad,2,2,0,0,6,2,4,6
2,2,barcelona,2,2,0,0,4,0,4,6
2,3,leganes,2,2,0,0,2,0,2,6
2,4,atletico_madrid,2,1,1,0,7,3,4,4
2,5,real_madrid,2,1,1,0,5,2,3,4
2,6,girona,2,1,1,0,3,2,1,4
2,7,levante,2,1,1,0,3,2,1,4
2,8,valencia,2,1,1,0,3,2,1,4
2,9,sevilla,2,1,1,0,2,1,1,4
2,10,athletic_club,2,1,1,0,1,0,1,4
2,11,eibar,2,1,0,1,1,1,0,3
2,12,real_betis,2,1,0,1,2,3,-1,3
2,13,espanyol,2,0,1,1,1,2,-1,1
2,14,getafe,2,0,1,1,0,1,-1,1
2,15,deportivo_la_coruna,2,0,1,1,2,5,-3,1
2,16,celta_vigo,2,0,0,2,3,5,-2,0
2,17,malaga,2,0,0,2,0,2,-2,0
2,18,alaves,2,0,0,2,0,3,-3,0
2,19,villarreal,2,0,0,2,0,4,-4,0
2,20,las_palmas,2,0,0,2,1,6,-5,0
3,1,barcelona,3,3,0,0,9,0,9,9
