curie,label,retrieved_at
MS:1002034,first author,2025-10-19T08:27:58.323606
MS:1000584,mzML format,2025-10-19T12:01:54.807561
MS:1000566,ISB mzXML format,2025-10-19T12:01:54.808003
MS:1001062,Mascot MGF format,2025-10-19T12:01:54.808437
MS:1000563,Thermo RAW format,2025-10-19T12:01:54.808635
MS:1000526,Waters raw format,2025-10-19T12:01:54.808934
MS:1000562,ABI WIFF format,2025-10-19T12:01:54.809107
MS:1000564,PSI mzData format,2025-10-19T12:01:54.809277
MS:1000565,Micromass PKL format,2025-10-19T12:01:54.809684
MS:1000613,DTA format,2025-10-19T12:01:54.809974
MS:1001466,MS2 format,2025-10-19T12:01:54.810343
MS:1000815,Bruker BAF format,2025-10-19T12:01:54.810671
MS:1002817,Bruker TDF format,2025-10-19T12:01:54.811078
MS:1003282,Bruker TSF format,2025-10-19T12:01:54.811564
MS:1001881,mz5 format,2025-10-19T12:01:54.811907
MS:1002838,mzMLb format,2025-10-19T12:01:54.812228
MS:1002531,UIMF format,2025-10-19T12:01:54.812550
MS:1000483,Thermo Fisher Scientific instrument model,2025-10-19T12:01:54.812736
MS:1000126,Waters instrument model,2025-10-19T12:01:54.813038
MS:1000122,Bruker Daltonics instrument model,2025-10-19T12:01:54.813212
MS:1000121,SCIEX instrument model,2025-10-19T12:01:54.813411
MS:1000490,Agilent instrument model,2025-10-19T12:01:54.813627
MS:1000124,Shimadzu instrument model,2025-10-19T12:01:54.813829
MS:1001800,LECO instrument model,2025-10-19T12:01:54.814124
