| Channel | Slice | Wavelength | LeftX   | LeftY   | CenterX | CenterY | RightX  | RightY  |
| VIS     | 1     | 0.310      | 12.435  | 18.495  | 12.955  | 18.484  | 13.475  | 18.457  |
| VIS     | 1     | 0.370      | 12.444  | 13.573  | 12.964  | 13.569  | 13.484  | 13.555  |
| VIS     | 1     | 0.440      | 12.455  | 10.364  | 12.975  | 10.364  | 13.495  | 10.359  |
| VIS     | 1     | 0.510      | 12.463  | 8.425   | 12.983  | 8.428   | 13.503  | 8.428   |
| VIS     | 1     | 0.580      | 12.468  | 7.139   | 12.988  | 7.144   | 13.508  | 7.147   |
| VIS     | 1     | 0.650      | 12.471  | 6.219   | 12.991  | 6.226   | 13.511  | 6.231   |
| VIS     | 1     | 0.720      | 12.473  | 5.523   | 12.993  | 5.530   | 13.513  | 5.538   |
| VIS     | 1     | 0.790      | 12.477  | 4.966   | 12.997  | 4.974   | 13.517  | 4.983   |
| VIS     | 1     | 0.860      | 12.480  | 4.501   | 13.000  | 4.510   | 13.520  | 4.520   |
| VIS     | 1     | 0.930      | 12.482  | 4.097   | 13.002  | 4.107   | 13.522  | 4.118   |
| VIS     | 1     | 1.000      | 12.484  | 3.735   | 13.004  | 3.744   | 13.524  | 3.757   |
| VIS     | 2     | 0.310      | 0.113   | 18.339  | 0.650   | 18.339  | 1.170   | 18.339  |
| VIS     | 2     | 0.370      | 0.117   | 13.423  | 0.650   | 13.423  | 1.170   | 13.423  |
| VIS     | 2     | 0.440      | 0.120   | 10.218  | 0.650   | 10.218  | 1.170   | 10.218  |
| VIS     | 2     | 0.510      | 0.123   | 8.282   | 0.650   | 8.282   | 1.170   | 8.282   |
| VIS     | 2     | 0.580      | 0.125   | 6.997   | 0.650   | 6.997   | 1.170   | 6.997   |
| VIS     | 2     | 0.650      | 0.126   | 6.079   | 0.650   | 6.079   | 1.170   | 6.079   |
| VIS     | 2     | 0.720      | 0.127   | 5.383   | 0.650   | 5.383   | 1.170   | 5.383   |
| VIS     | 2     | 0.790      | 0.128   | 4.827   | 0.650   | 4.827   | 1.170   | 4.827   |
| VIS     | 2     | 0.860      | 0.129   | 4.363   | 0.650   | 4.363   | 1.170   | 4.363   |
| VIS     | 2     | 0.930      | 0.130   | 3.960   | 0.650   | 3.960   | 1.170   | 3.960   |
| VIS     | 2     | 1.000      | 0.130   | 3.597   | 0.650   | 3.597   | 1.170   | 3.597   |
| VIS     | 3     | 0.310      | -14.711 | 18.538  | -14.191 | 18.549  | -13.671 | 18.544  |
| VIS     | 3     | 0.370      | -14.718 | 13.629  | -14.198 | 13.633  | -13.678 | 13.629  |
| VIS     | 3     | 0.440      | -14.724 | 10.429  | -14.204 | 10.428  | -13.684 | 10.424  |
| VIS     | 3     | 0.510      | -14.729 | 8.495   | -14.209 | 8.492   | -13.689 | 8.488   |
| VIS     | 3     | 0.580      | -14.733 | 7.212   | -14.213 | 7.207   | -13.693 | 7.204   |
| VIS     | 3     | 0.650      | -14.735 | 6.295   | -14.215 | 6.289   | -13.695 | 6.286   |
| VIS     | 3     | 0.720      | -14.737 | 5.600   | -14.217 | 5.593   | -13.697 | 5.590   |
| VIS     | 3     | 0.790      | -14.739 | 5.045   | -14.219 | 5.037   | -13.699 | 5.034   |
| VIS     | 3     | 0.860      | -14.741 | 4.582   | -14.221 | 4.573   | -13.701 | 4.570   |
| VIS     | 3     | 0.930      | -14.742 | 4.179   | -14.222 | 4.170   | -13.702 | 4.167   |
| VIS     | 3     | 1.000      | -14.743 | 3.817   | -14.223 | 3.807   | -13.703 | 3.804   |
| VIS     | 4     | 0.310      | -13.511 | 11.085  | -12.981 | 11.096  | -12.461 | 11.102  |
| VIS     | 4     | 0.370      | -13.518 | 6.163   | -12.988 | 6.167   | -12.468 | 6.167   |
| VIS     | 4     | 0.440      | -13.524 | 2.954   | -12.994 | 2.953   | -12.474 | 2.949   |
| VIS     | 4     | 0.510      | -13.529 | 1.015   | -12.999 | 1.012   | -12.479 | 1.005   |
| VIS     | 4     | 0.580      | -13.533 | -0.271  | -13.003 | -0.276  | -12.483 | -0.285  |
| VIS     | 4     | 0.650      | -13.535 | -1.191  | -13.005 | -1.197  | -12.485 | -1.207  |
| VIS     | 4     | 0.720      | -13.537 | -1.887  | -13.007 | -1.895  | -12.487 | -1.905  |
