| Channel | Slice | Wavelength |  LeftX  |  LeftY  | CenterX  | CenterY  | RightX  | RightY  |
|     VIS |     1 |       0.40 |   12.45 |   11.97 |    12.97 |    11.97 |   13.49 |   11.96 |
|     VIS |     1 |       0.50 |   12.46 |    8.65 |    12.98 |     8.65 |   13.50 |    8.65 |
|     VIS |     1 |       0.85 |   12.48 |    4.56 |    13.00 |     4.57 |   13.52 |    4.58 |
|     VIS |     2 |       0.40 |    0.12 |   11.82 |     0.65 |    11.82 |    1.17 |   11.82 |
|     VIS |     2 |       0.50 |    0.12 |    8.51 |     0.65 |     8.51 |    1.17 |    8.51 |
|     VIS |     2 |       0.85 |    0.13 |    4.42 |     0.65 |     4.42 |    1.17 |    4.42 |
|     VIS |     3 |       0.40 |  -14.72 |   12.03 |   -14.20 |    12.03 |  -13.68 |   12.03 |
|     VIS |     3 |       0.50 |  -14.73 |    8.72 |   -14.21 |     8.72 |  -13.69 |    8.71 |
|     VIS |     3 |       0.85 |  -14.74 |    4.64 |   -14.22 |     4.63 |  -13.70 |    4.63 |
|     VIS |     4 |       0.40 |  -13.52 |    4.56 |   -12.99 |     4.56 |  -12.47 |    4.56 |
|     VIS |     4 |       0.50 |  -13.53 |    1.24 |   -13.00 |     1.24 |  -12.48 |    1.23 |
|     VIS |     4 |       0.85 |  -13.54 |   -2.85 |   -13.01 |    -2.86 |  -12.49 |   -2.87 |
|     VIS |     5 |       0.40 |   -1.17 |    4.42 |    -0.64 |     4.42 |   -0.12 |    4.42 |
|     VIS |     5 |       0.50 |   -1.17 |    1.09 |    -0.64 |     1.09 |   -0.12 |    1.09 |
|     VIS |     5 |       0.85 |   -1.17 |   -3.00 |    -0.64 |    -3.00 |   -0.12 |   -3.00 |
|     VIS |     6 |       0.40 |   13.69 |    4.59 |    14.21 |     4.59 |   14.74 |    4.59 |
|     VIS |     6 |       0.50 |   13.71 |    1.27 |    14.23 |     1.27 |   14.75 |    1.27 |
|     VIS |     6 |       0.85 |   13.72 |   -2.83 |    14.24 |    -2.82 |   14.77 |   -2.81 |
|     VIS |     7 |       0.40 |   12.48 |   -2.95 |    13.00 |    -2.94 |   13.53 |   -2.95 |
|     VIS |     7 |       0.50 |   12.49 |   -6.28 |    13.01 |    -6.27 |   13.54 |   -6.27 |
|     VIS |     7 |       0.85 |   12.51 |  -10.38 |    13.03 |   -10.37 |   13.55 |  -10.36 |
|     VIS |     8 |       0.40 |    0.11 |   -3.08 |     0.64 |    -3.08 |    1.16 |   -3.08 |
|     VIS |     8 |       0.50 |    0.11 |   -6.41 |     0.64 |    -6.41 |    1.16 |   -6.41 |
|     VIS |     8 |       0.85 |    0.12 |  -10.51 |     0.64 |   -10.51 |    1.16 |  -10.51 |
|     VIS |     9 |       0.40 |  -14.77 |   -2.94 |   -14.25 |    -2.94 |  -13.72 |   -2.94 |
|     VIS |     9 |       0.50 |  -14.78 |   -6.25 |   -14.25 |    -6.27 |  -13.73 |   -6.27 |
|     VIS |     9 |       0.85 |  -14.79 |  -10.35 |   -14.27 |   -10.36 |  -13.75 |  -10.37 |
|     NIR |     1 |       0.85 |   14.97 |   13.61 |    15.60 |    13.62 |   16.23 |   13.62 |
|     NIR |     1 |       1.25 |   14.98 |   10.31 |    15.61 |    10.32 |   16.23 |   10.33 |
|     NIR |     1 |       2.40 |   14.99 |    4.68 |    15.61 |     4.69 |   16.23 |    4.70 |
|     NIR |     2 |       0.85 |    0.14 |   13.43 |     0.77 |    13.42 |    1.40 |   13.43 |
|     NIR |     2 |       1.25 |    0.15 |   10.13 |     0.78 |    10.13 |    1.41 |   10.13 |
|     NIR |     2 |       2.40 |    0.18 |    4.50 |     0.80 |     4.50 |    1.42 |    4.50 |
|     NIR |     3 |       0.85 |  -17.71 |   13.71 |   -17.08 |    13.70 |  -16.46 |   13.70 |
|     NIR |     3 |       1.25 |  -17.70 |   10.42 |   -17.08 |    10.41 |  -16.45 |   10.40 |
