gameweek,team_rank,team_name,matchs_played,matchs_won,matchs_drawn,matchs_lost,team_goals_for,team_goals_against,team_goals_difference,team_points
1,1,internazionale,1,1,0,0,3,0,3,3
1,2,juventus,1,1,0,0,3,0,3,3
1,3,milan,1,1,0,0,3,0,3,3
1,4,napoli,1,1,0,0,3,1,2,3
1,5,chievo,1,1,0,0,2,1,1,3
1,6,sampdoria,1,1,0,0,2,1,1,3
1,7,roma,1,1,0,0,1,0,1,3
1,8,bologna,1,0,1,0,1,1,0,1
1,9,torino,1,0,1,0,1,1,0,1
1,10,genoa,1,0,1,0,0,0,0,1
1,11,lazio,1,0,1,0,0,0,0,1
1,12,sassuolo,1,0,1,0,0,0,0,1
1,13,spal,1,0,1,0,0,0,0,1
1,14,benevento,1,0,0,1,1,2,-1,0
1,15,udinese,1,0,0,1,1,2,-1,0
1,16,atalanta,1,0,0,1,0,1,-1,0
1,17,hellas_verona,1,0,0,1,1,3,-2,0
1,18,cagliari,1,0,0,1,0,3,-3,0
1,19,crotone,1,0,0,1,0,3,-3,0
1,20,fiorentina,1,0,0,1,0,3,-3,0
2,1,juventus,2,2,0,0,7,2,5,6
2,2,internazionale,2,2,0,0,6,1,5,6
2,3,napoli,2,2,0,0,6,2,4,6
2,4,milan,2,2,0,0,5,1,4,6
2,5,sampdoria,2,2,0,0,4,2,2,6
2,6,torino,2,1,1,0,4,1,3,4
2,7,spal,2,1,1,0,3,2,1,4
2,8,bologna,2,1,1,0,2,1,1,4
2,9,lazio,2,1,1,0,2,1,1,4
2,10,chievo,2,1,0,1,3,3,0,3
2,11,roma,2,1,0,1,2,3,-1,3
2,12,genoa,2,0,1,1,2,4,-2,1
2,13,hellas_verona,2,0,1,1,1,3,-2,1
2,14,crotone,2,0,1,1,0,3,-3,1
2,15,sassuolo,2,0,1,1,0,3,-3,1
2,16,udinese,2,0,0,2,3,5,-2,0
2,17,benevento,2,0,0,2,1,3,-2,0
2,18,atalanta,2,0,0,2,1,4,-3,0
2,19,cagliari,2,0,0,2,1,5,-4,0
2,20,fiorentina,2,0,0,2,1,5,-4,0
3,1,internazionale,4,4,0,0,10,1,9,12
3,2,juventus,3,3,0,0,10,2,8,9
3,3,napoli,3,3,0,0,9,2,7,9
3,4,lazio,3,2,1,0,6,2,4,7
3,5,torino,3,2,1,0,5,1,4,7
3,6,sampdoria,2,2,0,0,4,2,2,6
