YTID,start_seconds
01w-Ub9dLEU,70
0pZJa-qmiUw,150
25R8tkWeHjA,29
2miNLk7GS2E,250
2ndhiZb-5Lk,0
3OuwVlCpT1g,30
4Dwr8wmf2ao,250
4LqqIwsSai4,30
4fiR3qashxE,0
4oI-r3zs8Cg,20
6FjyuoyiTec,10
6Sny_-shK20,100
79Ic4QeHpVE,3
8D_MElckQmA,50
8lIh0qRN7PE,220
9b4eODcsZVs,10
AxEas73-nWA,30
BToDpVXv1Ug,0
BYJUQFC5Z5M,30
BmznMmjIM5Q,130
C9OHV7P2GZE,30
D1LpWCgJCkM,30
DQyIyNWR0FM,130
Dapy8SlPZPQ,70
EqrJVz9XPwo,320
F8f8z7DJzeY,14
FGgAGfu6O1s,0
GGfhnsS9Pk0,100
H9-fwF0EOPo,3
H96a9TXYZ_E,20
I0tX4p95t_U,70
IPuYQcP2gXM,40
IXHBfOul1YY,420
InJNPgwJRZw,40
J4TzasMd6h4,0
JD4zmubkXjo,30
JH5i3C0OzyQ,30
JPJhcM-9Y_0,30
JWltSHhmxVI,90
KK6rqRjkA80,100
KUkcrqulhqg,50
KZ8Ne4Ex7Y0,30
KfFNvdd0eso,160
KjHxycRP1xk,70
LzVhSA-Ql78,30
Mt7glZHH4p0,0
Ng14eRax5vM,520
NkT0PF7pRRI,30
Oocvpoxi92k,30
OzHhLFFRCBc,0
QNeieugULqI,0
RfRzrtpwDqw,150
RozG9WRKxD4,60
T6Cd85_tmlM,70
ThoNoxGlpDo,310
U6AvT0wBwzU,0
UH23L7RMQ4c,60
UNmnrmwPRE4,310
UQKm4wsnMkg,10
VJ1hCIkrNZw,160
VKhB5-_jRJ4,40
Vrn6a3759jk,0
WzJADfjZjhU,290
X_fm0FyMDqA,240
YfFe-qYx7SU,0
YpNyvkH-tJo,0
Yu7FiBS9Qjg,50
ZAKKmmdq4yU,150
ZJ9xZZkoIxk,30
Zgbuj3y2iuY,210
_-QDrB0cwtU,290
_SWI0EclPic,30
_nMjINi0ZiE,60
_xW4hZQ95Ps,30
a1XtzK0RgGo,10
aMwWAwa_mqM,70
cJVE1962Ufo,16
cjgYOOPFats,20
coniJoHLdB4,30
dSU9tc7B4Vs,30
e7UjJ-zwx1c,0
eI7IkWkGEpY,16
eRuTtj7H0JI,40
ezyFfdIkCCQ,220
ffaRqnZADyA,60
grLGgTeY5-o,80
h3KSq3oMruA,0
jjJSVMREql8,25
kvXLA-ymwec,40
lARXsFN5mP4,260
lDD9qkRann4,150
lwrzVx1_gSk,340
n6KkztNsegQ,3
n92_YDZ3tzM,80
nAOtE60FQn8,30
niYH8Dpt4uE,140
o8MAKBCVwqU,30
oYqFa-TzEEk,30
owV-9NTIQFM,30
pP5HiINfW3Y,0
pQAQAYZqR4E,20
pWy_Nod4hGg,0
qnYR3YTgZ68,120
r6URKadZK1w,0
rae7_kchsho,4
s6QAq5nbyRg,13
s_SLQwB8PlI,7
t-wxZRUAVNc,110
t35KHSti3gI,150
tPEkFCdAhkE,440
u3U-8Aqyjb0,30
u75uavER3_Y,30
u77nEV52jgo,70
uAw-OrZRu7w,410
v5YPPBwHLAk,120
w3dUKrgpdiM,40
wSYzCTR8NTo,40
xe4kcDT187o,80
yX1SAUR6aCQ,370
zBXL34HIFVU,0
zJ8SXAmMJ84,130
zPdfEmn96x8,90
zZPQr7CFY_8,130
