user.id,timestamp,calories,cost,healthy_level,ingredients,name,protein,salty_sweet,snack_image,sodium,sugar,when,why
ids-1,2023-09-18 08:45:34,140,$0 to < $1,4,16,kit kat,5,Sweet,SKIPPED,15,15,afternoon,energy
ids-1,2023-09-15 13:51:35,150,$0 to < $1,4,20,chips,2,Salty,SKIPPED,210,1,afternoon,hungry/thirsty
ids-1,2023-09-15 13:46:49,250,$1 to < $3,3,3,penut butter and jelly,15,Sweet,SKIPPED,3,3,afternoon,craving
ids-1,2023-09-15 10:40:23,220,$1 to < $3,2,15,snicker,4,Sweet,SKIPPED,150,25,night,hungry/thirsty
ids-2,2023-09-01 13:52:57,149,$3 to < $7,4,12,whole milk,8,Sweet,SKIPPED,107,12,morning,hungry/thirsty
ids-2,2023-09-01 13:50:23,200,$3 to < $7,3,8,swaggerty farms sausage,11,Salty,SKIPPED,480,0,morning,hungry/thirsty
ids-2,2023-09-01 13:42:16,70,$3 to < $7,4,8,Eggs,6,Salty,SKIPPED,65,0,morning,hungry/thirsty
ids-2,2023-09-01 13:40:50,23,$3 to < $7,2,9,Pancakes,0.9,Salty,SKIPPED,57,0,morning,hungry/thirsty
ids-2,2023-09-01 13:38:12,82,$3 to < $7,3,12,Bacon,6,Salty,SKIPPED,220,0,morning,hungry/thirsty
ids-2,2023-09-01 13:35:01,30,$3 to < $7,4,10,Croutons,1,Salty,SKIPPED,70,0,morning,availability
ids-2,2023-09-01 13:33:30,170,$3 to < $7,4,12,Mr beast bar,2,Sweet,SKIPPED,25,13,afternoon,availability
ids-2,2023-09-01 13:31:26,270,$3 to < $7,2,11,Brownies,2,Sweet,SKIPPED,170,23,afternoon,availability
ids-2,2023-09-01 13:29:27,90,$3 to < $7,3,8,Madaline Cookies,1,Sweet,SKIPPED,40,6,afternoon,craving
ids-2,2023-09-01 13:27:57,160,$3 to < $7,3,7,Hot cheeto puffs,1,Salty,SKIPPED,310,0,afternoon,craving
ids-3,2023-08-31 14:49:21,268,$3 to < $7,3,15,donuts ,4,Sweet,SKIPPED,18,15,afternoon,craving
ids-3,2023-08-30 17:42:18,170,$1 to < $3,3,18,mr beast chocolate bar ,2,Sweet,SKIPPED,25,13,afternoon,craving
ids-3,2023-08-30 17:39:54,160,$3 to < $7,2,20,hot Cheetos,1,Salty,SKIPPED,310,0,afternoon,availability
ids-3,2023-08-30 17:37:07,90,$1 to < $3,3,15,madilane cookies ,1,Sweet,SKIPPED,40,6,afternoon,craving
ids-3,2023-08-30 17:31:49,270,$1 to < $3,2,18,cosmic brownies ,2,Sweet,SKIPPED,170,23,afternoon,hungry/thirsty
ids-4,2023-08-28 22:48:53,150,$3 to < $7,3,5,oatmeal,5,Sweet,ef18fc8f-0040-4965-9c57-5031206a7067,0,1,afternoon,energy
ids-4,2023-08-28 22:45:26,128,$1 to < $3,3,0,banana,6.9,Sweet,66df088d-6a5a-4bb5-973f-ddb5206a7067,10,4.1,afternoon,energy
ids-4,2023-08-28 22:42:51,24,$1 to < $3,2,6,nutella,0.7,Sweet,cba46269-129f-4942-a71e-67ea206a7067,1,1.6,afternoon,energy
ids-4,2023-08-28 22:32:46,160,$3 to < $7,3,37,oreo,1,Sweet,ba9c817b-ac95-4a36-8201-df94206a7067,6,14,evening,energy
ids-4,2023-08-28 22:29:28,210,$1 to < $3,2,27,cheez it,5,Salty,257d6de8-26e6-418c-b442-ad27206a7067,14,0,evening,energy
ids-4,2023-08-28 22:26:06,45,$3 to < $7,3,0,strawberries,2,Sweet,4cb7a55f-91d4-45fe-9db8-0007206a7067,0,7,morning,energy
ids-4,2023-08-28 22:23:28,140,$1 to < $3,2,12,goldfish,3,Salty,3536737b-48bf-4f61-b3b9-beb2206a7067,11,0,night,energy
ids-4,2023-08-28 22:05:09,140,$1 to < $3,2,30,kit kat,2,Sweet,58b4fb4f-200d-46b4-acc9-5b60206a7067,20,40,evening,craving
ids-5,2023-08-28 09:21:38,230,$3 to < $7,1,15,honeybun,3,Sweet,SKIPPED,190,15,afternoon,craving
ids-5,2023-08-28 09:18:23,300,$3 to < $7,2,29,uncrustables,9,Sweet,SKIPPED,280,15,morning,hungry/thirsty
ids-5,2023-08-28 09:14:41,140,$3 to < $7,2,19,cheerios,5,Sweet,SKIPPED,190,2,morning,hungry/thirsty
