text,label
"The lecture discussed quantum mechanics.",physics
"Book a flight to Paris.",book_flight
"The product arrived broken.",defective_product
"We studied cell division in biology class today.",biology
"The professor explained photosynthesis and chlorophyll.",biology
"DNA replication is a complex molecular process.",biology
"We're learning about genetics and inheritance patterns.",biology
"The lab focused on examining plant cell structures.",biology
"Evolution by natural selection is Darwin's theory.",biology
"We discussed the nervous system and neurons.",biology
"Mitochondria are the powerhouses of the cell.",biology
"The digestive system breaks down nutrients.",biology
"We analyzed protein synthesis and RNA transcription.",biology
"Ecosystems demonstrate complex food webs.",biology
"The circulatory system pumps blood throughout the body.",biology
"We studied bacterial reproduction and binary fission.",biology
"Hormones regulate many biological processes.",biology
"The respiratory system exchanges oxygen and carbon dioxide.",biology
"We examined different types of tissue under microscopes.",biology
"Enzymes catalyze biochemical reactions in living organisms.",biology
"The immune system protects against pathogens.",biology
"We learned about Mendel's laws of inheritance.",biology
"Cellular respiration produces ATP energy.",biology
"The endocrine system controls growth and development.",biology
"We studied biodiversity in tropical rainforests.",biology
"Meiosis creates genetically diverse gametes.",biology
"The kidney filters waste from the bloodstream.",biology
"We examined the structure of plant roots and stems.",biology
"Homeostasis maintains internal body balance.",biology
"The brain processes sensory information.",biology
"We discussed adaptation and survival strategies.",biology
"Chromosomes carry genetic information.",biology
"The skeletal system provides structural support.",biology
"Ribosomes synthesize proteins from amino acids.",biology
"The cell membrane controls what enters and exits cells.",biology
"We studied the process of osmosis and diffusion.",biology
"The heart has four chambers that pump blood.",biology
"DNA contains the genetic blueprint for all organisms.",biology
"We learned about dominant and recessive alleles.",biology
"Bacteria can reproduce through conjugation.",biology
"The liver detoxifies harmful substances in the body.",biology
"We examined leaf structures and stomata function.",biology
"Natural selection favors advantageous traits.",biology
"The spinal cord transmits signals to the brain.",biology
"We studied the nitrogen cycle in ecosystems.",biology
"Mutations can cause changes in genetic sequences.",biology
"The pancreas produces insulin to regulate blood sugar.",biology
"We observed prokaryotic and eukaryotic cells.",biology
