curie,label,retrieved_at
NCIT:C25190,Person,2025-10-19T08:25:19.496134
NCIT:C41206,Institution,2025-10-19T08:25:19.497272
NCIT:C71345,Bachelor of Arts,2025-10-19T08:25:41.711078
NCIT:C71351,Bachelor of Science,2025-10-19T08:25:41.711458
NCIT:C71347,Bachelor of Engineering,2025-10-19T08:25:41.711680
NCIT:C71349,Bachelor of Fine Arts,2025-10-19T08:25:41.711865
NCIT:C71352,Bachelor of Science in Law,2025-10-19T08:25:41.712038
NCIT:C39383,Doctor of Medicine,2025-10-19T08:25:41.712841
NCIT:C71364,Master of Arts,2025-10-19T08:25:41.713752
NCIT:C39452,Master of Science,2025-10-19T08:25:41.713980
NCIT:C39449,Master of Business Administration,2025-10-19T08:25:41.714179
NCIT:C39451,Master of Public Health,2025-10-19T08:25:41.714345
NCIT:C71368,Master of Engineering,2025-10-19T08:25:41.714508
NCIT:C71369,Master of Education,2025-10-19T08:25:41.714665
NCIT:C71363,Master of Law,2025-10-19T08:25:41.714826
NCIT:C39387,Doctor of Philosophy,2025-10-19T08:25:41.714983
NCIT:C71361,Doctor of Law,2025-10-19T08:25:41.715142
NCIT:C71359,Doctor of Education,2025-10-19T08:25:41.715294
NCIT:C71379,Doctor of Science,2025-10-19T08:25:41.715591
NCIT:C16989,Physics,2025-10-19T08:25:41.716532
NCIT:C16414,Chemistry,2025-10-19T08:25:41.717051
NCIT:C16345,Biology,2025-10-19T08:25:41.717536
NCIT:C16825,Mathematics,2025-10-19T08:25:41.717843
NCIT:C16833,Medicine,2025-10-19T08:25:41.718110
NCIT:C15817,Neuroscience and Neuropsychiatric Research,2025-10-19T08:25:41.718827
NCIT:C16624,Genetics,2025-10-19T08:25:41.719484
NCIT:C16526,Ecology,2025-10-19T08:25:41.719994
NCIT:C16851,Microbiology,2025-10-19T08:25:41.720334
NCIT:C16337,Biochemistry,2025-10-19T08:25:41.720699
NCIT:C20003,Fellowship Program,2025-10-19T08:25:41.721558
NCIT:C164481,Corresponding Author indicator,2025-10-19T08:25:41.735586
NCIT:C42781,Author,2025-10-19T08:25:41.736127
NCIT:C19924,Principal Investigator,2025-10-19T08:25:41.736729
NCIT:C51812,Co-Investigator,2025-10-19T08:25:41.737405
NCIT:C84336,Collaborator,2025-10-19T08:25:41.738227
NCIT:C48660,Not Applicable,2025-10-19T08:25:42.030872
NCIT:C54031,Missing,2025-10-19T08:25:42.031717
NCIT:C142610,Missing Data,2025-10-19T08:25:42.032553
NCIT:C126101,Not Available,2025-10-19T08:25:42.033251
NCIT:C67110,Data Not Releasable,2025-10-19T08:25:42.033789
NCIT:C67329,Source Data Not Available,2025-10-19T08:25:42.034299
NCIT:C14348,Double Stranded DNA Virus,2025-10-19T08:25:42.531853
NCIT:C14350,Single Stranded DNA Virus,2025-10-19T08:25:42.532553
NCIT:C28518,Double Stranded RNA Virus,2025-10-19T08:25:42.535674
NCIT:C95939,Single-Stranded RNA,2025-10-19T08:25:42.537285
NCIT:C14351,Positive Sense ssRNA Virus,2025-10-19T08:25:42.537935
NCIT:C14346,Negative Sense ssRNA Virus,2025-10-19T08:25:42.538708
NCIT:C14347,Deltaretrovirus,2025-10-19T08:25:42.539210
NCIT:C14349,Other Virus Grouping,2025-10-19T08:25:42.540550
NCIT:C128790,Hybrid,2025-10-19T08:25:42.541792
NCIT:C17998,Unknown,2025-10-19T08:25:42.543018
NCIT:C17021,Protein,2025-10-19T08:25:42.581954
NCIT:C16554,Enzyme,2025-10-19T08:25:42.596926
NCIT:C41259,American Indian or Alaska Native,2025-10-19T08:25:42.841813
NCIT:C41260,Asian,2025-10-19T08:25:42.842255
NCIT:C16352,Black or African American,2025-10-19T08:25:42.842815
NCIT:C41219,Native Hawaiian or Other Pacific Islander,2025-10-19T08:25:42.843240
NCIT:C41261,White,2025-10-19T08:25:42.843626
NCIT:C67109,Multiracial,2025-10-19T08:25:42.843879
NCIT:C17459,Hispanic or Latino,2025-10-19T08:25:42.844506
NCIT:C41222,Not Hispanic or Latino,2025-10-19T08:25:42.844727
NCIT:C45908,Intersex,2025-10-19T08:25:42.846054
NCIT:C16731,Newborn,2025-10-19T08:25:42.846811
NCIT:C27956,Infant,2025-10-19T08:25:42.847398
NCIT:C39299,Pediatric,2025-10-19T08:25:42.847999
NCIT:C16423,Child,2025-10-19T08:25:42.848656
NCIT:C27954,Adolescent,2025-10-19T08:25:42.848957
NCIT:C91107,Young Adult,2025-10-19T08:25:42.849628
NCIT:C17600,Adult,2025-10-19T08:25:42.850150
NCIT:C16268,Elderly,2025-10-19T08:25:42.850606
NCIT:C37987,Alive,2025-10-19T08:25:42.851190
NCIT:C28554,Dead,2025-10-19T08:25:42.851503
NCIT:C211610,Not Yet Enrolling,2025-10-19T08:25:42.852199
NCIT:C142621,Open To Enrollment,2025-10-19T08:25:42.852698
NCIT:C211611,Enrolling by Invitation,2025-10-19T08:25:42.853040
NCIT:C211612,"Study Active, Not Enrolling",2025-10-19T08:25:42.853309
NCIT:C211613,Study Enrollment Suspended,2025-10-19T08:25:42.853541
NCIT:C70757,Study Terminated,2025-10-19T08:25:42.854068
NCIT:C70756,Completed Clinical Study,2025-10-19T08:25:42.854315
NCIT:C70758,Study Withdrawn,2025-10-19T08:25:42.854585
NCIT:C54721,Phase 0 Trial,2025-10-19T08:25:42.855106
NCIT:C15600,Phase I Trial,2025-10-19T08:25:42.855894
NCIT:C15694,Phase II/III Trial,2025-10-19T08:25:42.856456
NCIT:C15601,Phase II Trial,2025-10-19T08:25:42.856702
NCIT:C49686,Phase IIa Trial,2025-10-19T08:25:42.857139
NCIT:C15602,Phase III Trial,2025-10-19T08:25:42.857372
NCIT:C15603,Phase IV Trial,2025-10-19T08:25:42.857578
NCIT:C45976,XX Genotype,2025-10-19T08:25:42.867880
NCIT:C45977,XY Genotype,2025-10-19T08:25:42.868148
NCIT:C176780,"45,XO Karyotype",2025-10-19T08:25:42.868753
NCIT:C176784,"47,XXY Karyotype",2025-10-19T08:25:42.869014
NCIT:C176785,"47,XXX Karyotype",2025-10-19T08:25:42.869259
NCIT:C176786,"48,XXXY Karyotype",2025-10-19T08:25:42.869483
NCIT:C176787,"48,XXXX Karyotype",2025-10-19T08:25:42.869825
NCIT:C89801,XXYY Syndrome,2025-10-19T08:25:42.870284
NCIT:C176782,"47,XYY Karyotype",2025-10-19T08:25:42.870629
NCIT:C168799,Pathogenic Variant,2025-10-19T08:25:42.879876
NCIT:C168800,Likely Pathogenic Variant,2025-10-19T08:25:42.880160
NCIT:C94187,Variant of Unknown Significance,2025-10-19T08:25:42.880652
NCIT:C168801,Variant Likely Benign,2025-10-19T08:25:42.880873
NCIT:C168802,Variant Benign,2025-10-19T08:25:42.881087
NCIT:C206303,Actionable Variation,2025-10-19T08:25:42.881770
NCIT:C206304,Non-Actionable Variation,2025-10-19T08:25:42.882246
NCIT:C20826,Molecular Diagnosis,2025-10-19T08:25:42.882949
NCIT:C125009,Clinical Interpretation,2025-10-19T08:25:42.883452
NCIT:C25630,Progress,2025-10-19T08:25:42.884207
NCIT:C216251,Procedure Completed,2025-10-19T08:25:42.884761
NCIT:C53601,Device Evaluation Anticipated But Not Yet Begun,2025-10-19T08:25:42.885247
NCIT:C165209,Treatment Ongoing,2025-10-19T08:25:42.885591
NCIT:C105740,Treatment Completed as Prescribed,2025-10-19T08:25:42.886130
NCIT:C41331,Adverse Event,2025-10-19T08:25:42.886977
NCIT:C49502,Drug Withdrawn,2025-10-19T08:25:42.887881
NCIT:C48271,Consent Withdrawn,2025-10-19T08:25:42.888672
NCIT:C123584,Favorable Response,2025-10-19T08:25:42.889698
NCIT:C102561,Unfavorable,2025-10-19T08:25:42.890585
NCIT:C165206,Responsive Disease,2025-10-19T08:25:42.890876
NCIT:C16523,Drug Resistance Process,2025-10-19T08:25:42.891239
NCIT:C18213,Stable Disease,2025-10-19T08:25:42.892067
NCIT:C129479,High Confidence,2025-10-19T08:25:42.936299
NCIT:C129480,Moderate Confidence,2025-10-19T08:25:42.936701
NCIT:C129481,Low Confidence,2025-10-19T08:25:42.937004
NCIT:C129482,Very Low Confidence or No Confidence,2025-10-19T08:25:42.937289
NCIT:C153491,Confidence 1,2025-10-19T08:25:42.945788
NCIT:C153492,Confidence 2,2025-10-19T08:25:42.946271
NCIT:C153493,Confidence 3,2025-10-19T08:25:42.946707
NCIT:C153494,Confidence 4,2025-10-19T08:25:42.947263
NCIT:C153495,Confidence 5,2025-10-19T08:25:42.947608
NCIT:C38758,Positive Finding,2025-10-19T08:25:42.957788
NCIT:C35681,Negative Test Result,2025-10-19T08:25:42.958544
NCIT:C14165,Normal,2025-10-19T08:25:42.959271
NCIT:C121839,Fraudulently Obtained Product,2025-10-19T08:25:42.963306
NCIT:C81275,Pass,2025-10-19T08:25:42.974541
NCIT:C44281,Failed,2025-10-19T08:25:42.975578
NCIT:C44396,Lead Metal,2025-10-19T08:25:43.178577
NCIT:C66842,Mercury,2025-10-19T08:25:43.187253
NCIT:C44348,Cadmium,2025-10-19T08:25:43.187687
NCIT:C28131,Arsenic,2025-10-19T08:25:43.188216
NCIT:C370,Chromium,2025-10-19T08:25:43.189013
NCIT:C38284,Nasal Route of Administration,2025-10-19T08:25:43.192631
NCIT:C38288,Oral Route of Administration,2025-10-19T08:25:43.193065
NCIT:C38675,Cutaneous Route of Administration,2025-10-19T08:25:43.193737
NCIT:C38276,Intravenous Route of Administration,2025-10-19T08:25:43.194222
NCIT:C38307,Transplacental Route of Administration,2025-10-19T08:25:43.194810
NCIT:C38287,Ophthalmic Route of Administration,2025-10-19T08:25:43.195098
NCIT:C17140,Passive Smoke Exposure,2025-10-19T08:25:43.196830
NCIT:C28140,Chlorine,2025-10-19T08:25:43.198493
NCIT:C14187,Bacteria,2025-10-19T08:25:43.199331
NCIT:C14283,Virus,2025-10-19T08:25:43.199840
NCIT:C28176,Parasite,2025-10-19T08:25:43.200474
NCIT:C442,Dioxin Compound,2025-10-19T08:25:43.204322
NCIT:C172788,Semiconductor,2025-10-19T08:25:43.337326
NCIT:C61520,Composite,2025-10-19T08:25:43.345245
NCIT:C16338,Biomedical Material,2025-10-19T08:25:43.345592
NCIT:C62371,Nanomaterial,2025-10-19T08:25:43.346211
NCIT:C73478,Biopolymer,2025-10-19T08:25:43.347558
NCIT:C28161,Intramuscular Route of Administration,2025-10-19T08:25:43.389066
NCIT:C38299,Subcutaneous Route of Administration,2025-10-19T08:25:43.389503
NCIT:C38304,Topical Route of Administration,2025-10-19T08:25:43.389773
NCIT:C38216,Inhalation Route of Administration,2025-10-19T08:25:43.390182
NCIT:C38295,Rectal Route of Administration,2025-10-19T08:25:43.390426
NCIT:C38305,Transdermal Route of Administration,2025-10-19T08:25:43.390679
NCIT:C38300,Sublingual Route of Administration,2025-10-19T08:25:43.390937
NCIT:C38243,Intraepidermal Route of Administration,2025-10-19T08:25:43.391416
NCIT:C38277,Intraventricular Route of Administration,2025-10-19T08:25:43.391669
NCIT:C38192,Auricular Route of Administration,2025-10-19T08:25:43.391954
NCIT:C15189,Biopsy Procedure,2025-10-19T08:25:43.392677
NCIT:C17262,X-Ray,2025-10-19T08:25:43.393464
NCIT:C17204,Computed Tomography,2025-10-19T08:25:43.394188
NCIT:C16809,Magnetic Resonance Imaging,2025-10-19T08:25:43.394914
NCIT:C17230,Ultrasound Imaging,2025-10-19T08:25:43.395845
NCIT:C17007,Positron Emission Tomography,2025-10-19T08:25:43.396661
NCIT:C38054,Electroencephalography,2025-10-19T08:25:43.397444
NCIT:C16546,Endoscopic Procedure,2025-10-19T08:25:43.398266
NCIT:C15709,Genetic Testing,2025-10-19T08:25:43.398815
NCIT:C3114,Hypersensitivity,2025-10-19T08:25:43.400255
NCIT:C116455,High Field Strength Magnetic Resonance Imaging,2025-10-19T08:25:43.408498
NCIT:C116456,Low Field Strength Magnetic Resonance Imaging,2025-10-19T08:25:43.408865
NCIT:C82392,Fluid Attenuated Inversion Recovery,2025-10-19T08:25:43.409469
NCIT:C17958,Functional Magnetic Resonance Imaging,2025-10-19T08:25:43.410117
NCIT:C116450,Arterial Spin Labeling Magnetic Resonance Imaging,2025-10-19T08:25:43.410517
NCIT:C64862,Diffusion Tensor Imaging,2025-10-19T08:25:43.415671
NCIT:C116459,Secretin-Enhanced Magnetic Resonance Imaging,2025-10-19T08:25:43.416018
NCIT:C116458,Multiparametric Magnetic Resonance Imaging,2025-10-19T08:25:43.416314
NCIT:C121377,Susceptibility Weighted Imaging,2025-10-19T08:25:43.416976
NCIT:C178023,Task Functional Magnetic Resonance Imaging,2025-10-19T08:25:43.417609
NCIT:C178024,Resting Functional Magnetic Resonance Imaging,2025-10-19T08:25:43.417895
NCIT:C116454,Functional Connectivity Magnetic Resonance Imaging,2025-10-19T08:25:43.418177
NCIT:C154542,Gradient Echo MRI,2025-10-19T08:25:43.418695
NCIT:C17558,Echo-Planar Imaging,2025-10-19T08:25:43.419568
NCIT:C118462,Magnetization-Prepared Rapid Gradient Echo MRI,2025-10-19T08:25:43.420227
NCIT:C200534,Constructive Interference In Steady State,2025-10-19T08:25:43.420883
NCIT:C180727,T1-Weighted Magnetic Resonance Imaging,2025-10-19T08:25:43.421344
NCIT:C180729,T2-Weighted Magnetic Resonance Imaging,2025-10-19T08:25:43.421687
NCIT:C156447,T2 (Observed)-Weighted Imaging,2025-10-19T08:25:43.422253
NCIT:C170797,Proton Density MRI,2025-10-19T08:25:43.422797
NCIT:C111116,Diffusion Weighted Imaging,2025-10-19T08:25:43.423457
NCIT:C94731,Spring,2025-10-19T08:25:43.865542
NCIT:C94732,Summer,2025-10-19T08:25:43.866021
NCIT:C94733,Autumn,2025-10-19T08:25:43.866588
NCIT:C94730,Winter,2025-10-19T08:25:43.867057
NCIT:C28385,Vaccinated,2025-10-19T12:15:52.486249
NCIT:C183125,Not Vaccinated,2025-10-19T12:15:52.487349
NCIT:C183123,Fully Vaccinated,2025-10-19T12:15:52.487691
NCIT:C183124,Partially Vaccinated,2025-10-19T12:15:52.488052
NCIT:C189189,Vaccinated with Booster for COVID-19,2025-10-19T12:15:52.488866
NCIT:C54647,Annual,2025-10-19T12:15:55.325247
NCIT:C28320,Booster,2025-10-19T12:15:55.326352
NCIT:C29694,Inactivated Vaccine,2025-10-19T12:15:55.328431
NCIT:C1455,Conjugate Vaccine,2025-10-19T12:15:55.329775
NCIT:C172787,mRNA Vaccine,2025-10-19T12:15:55.330762
NCIT:C39619,DNA Vaccine,2025-10-19T12:15:55.332199
NCIT:C1752,Peptide Vaccine,2025-10-19T12:15:55.333286
NCIT:C12345,Test Label,2025-10-20T10:35:58.258441
NCIT:C43377,Microplate,2025-10-29T20:43:07.410222
NCIT:C128793,Microplate Well,2025-10-29T20:43:07.418438
NCIT:C103215,Tetrahedral Molecular Geometry,2025-11-07T16:28:22.748298
NCIT:C813,Messenger RNA,2025-12-14T23:20:36.848317
NCIT:C16837,Membrane Protein,2025-12-14T23:20:36.850282
NCIT:C12508,Cell,2025-12-14T23:20:36.851774
NCIT:C12801,Tissue,2025-12-14T23:20:36.852626
NCIT:C103211,Square Planar 1 Molecular Geometry,2025-12-14T23:20:36.863595
NCIT:C103216,Octahedral 12 Molecular Geometry,2025-12-14T23:20:36.864051
NCIT:C29776,Strontium Sr-90,2025-12-14T23:20:37.647267
NCIT:C1639,Iodine I-131,2025-12-14T23:20:37.647796
NCIT:C29774,Plutonium-239,2025-12-14T23:20:37.648085
NCIT:C2916,Carcinoma,2025-12-14T23:20:37.936605
NCIT:C2852,Adenocarcinoma,2025-12-14T23:20:37.964061
NCIT:C2929,Squamous Cell Carcinoma,2025-12-14T23:20:37.965003
NCIT:C2930,Transitional Cell Carcinoma,2025-12-14T23:20:37.965886
NCIT:C3915,Small Cell Neuroendocrine Carcinoma,2025-12-14T23:20:37.966981
NCIT:C9118,Sarcoma,2025-12-14T23:20:37.967852
NCIT:C9145,Osteosarcoma,2025-12-14T23:20:37.968889
NCIT:C2946,Chondrosarcoma,2025-12-14T23:20:37.969642
NCIT:C3194,Liposarcoma,2025-12-14T23:20:37.970363
NCIT:C3158,Leiomyosarcoma,2025-12-14T23:20:37.970945
NCIT:C3359,Rhabdomyosarcoma,2025-12-14T23:20:37.972416
NCIT:C3208,Lymphoma,2025-12-14T23:20:37.975383
NCIT:C9357,Hodgkin Lymphoma,2025-12-14T23:20:37.976398
NCIT:C3211,Non-Hodgkin Lymphoma,2025-12-14T23:20:37.977051
NCIT:C8851,Diffuse Large B-Cell Lymphoma,2025-12-14T23:20:37.977832
NCIT:C3161,Leukemia,2025-12-14T23:20:37.978383
NCIT:C3167,Acute Lymphoblastic Leukemia,2025-12-14T23:20:37.978993
NCIT:C3171,Acute Myeloid Leukemia,2025-12-14T23:20:37.979437
NCIT:C3163,Chronic Lymphocytic Leukemia,2025-12-14T23:20:37.979816
NCIT:C3174,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",2025-12-14T23:20:37.980259
NCIT:C3224,Melanoma,2025-12-14T23:20:37.980752
NCIT:C3234,Mesothelioma,2025-12-14T23:20:37.981325
NCIT:C3708,Germ Cell Tumor,2025-12-14T23:20:37.982000
NCIT:C3677,Benign Neoplasm,2025-12-14T23:20:37.982570
NCIT:C2917,Carcinoma In Situ,2025-12-14T23:20:37.982915
NCIT:C6807,Benign External Ear Neoplasm,2025-12-14T23:20:37.990406
NCIT:C3698,Choroid Plexus Papilloma,2025-12-14T23:20:37.991062
NCIT:C6286,Childhood Cerebellar Astrocytoma,2025-12-14T23:20:37.991947
NCIT:C121624,Agonal Respiration,2025-12-14T23:20:37.992695
NCIT:C2998,Dyspnea,2025-12-14T23:20:37.993344
NCIT:C3017,Ependymoma,2025-12-14T23:20:37.993942
NCIT:C6927,Malignant Epithelioma,2025-12-14T23:20:37.994468
NCIT:C129355,Chromothripsis,2025-12-14T23:20:37.995194
NCIT:C129354,ZFTA/RELA Fusion Protein,2025-12-14T23:20:37.995524
NCIT:C3222,Medulloblastoma,2025-12-14T23:20:37.995973
NCIT:C6774,Recurrent Childhood Medulloblastoma,2025-12-14T23:20:37.996424
