###############################################
#  xbin     ybin     Vrms      eVrms    flux
###############################################
  -1.000   -1.000     76.6      3.7      87680
  -1.000   -4.000     70.0      3.6      29572
  -4.000   -4.000     71.4      3.5      20095
  -7.500   -3.000     67.9      3.5      13965
  -4.000    0.000     72.1      3.7      37569
  -9.571    1.000     68.6      3.4      11650
  -6.000    4.000     71.9      3.5      15248
  -2.000    3.000     75.4      3.7      38188
  -1.000    1.000     71.9      3.7      87680
  -2.333    5.667     72.4      3.5      16118
 -11.250    6.750     65.6      3.3       6715
  -7.000    9.000     61.3      3.3       7143
 -15.727    0.818     67.5      3.3       5836
 -13.000   -5.400     61.2      3.3       6396
  -7.667   -7.333     66.1      3.4       8350
 -17.769    7.769     67.7      3.2       3991
 -20.200   -5.800     67.8      3.2       3687
 -23.500    1.875     62.3      3.2       3205
 -16.231  -12.231     62.2      3.2       3415
  -9.250  -12.000     65.0      3.3       4737
  -4.000  -11.000     60.5      3.3       6305
  -1.667   -7.667     75.4      3.4      10947
 -24.200  -13.800     58.7      3.1       2141
 -28.222   -6.556     65.6      3.1       2205
 -12.231  -18.231     62.2      3.1       2675
 -19.769  -19.769     64.5      3.0       1895
 -33.091    1.545     66.0      3.0       1754
 -26.250    9.500     63.6      3.1       2278
 -20.143   15.000     68.6      3.1       2442
 -12.636   13.364     61.9      3.2       3713
 -36.636   -8.455     61.3      3.0       1313
 -32.000  -17.000     56.5      3.0       1298
 -35.167   10.833     55.6      3.0       1347
 -43.909    0.455     57.0      2.9        964
 -26.375  -23.375     56.3      3.0       1243
 -28.500   17.750     57.1      3.0       1472
 -40.263  -18.474     59.3      2.9        865
 -45.870  -10.391     56.4      2.9        804
 -14.000  -25.571     58.7      3.0       1578
  -5.250  -17.250     62.8      3.2       3360
 -34.500  -26.500     55.2      2.9        823
 -20.375  -29.375     64.0      2.9       1102
  -6.600  -23.000     65.6      3.1       2134
  -0.429  -15.000     69.4      3.3       4267
 -27.824  -32.765     55.0      2.9        776
   1.400  -10.200     65.0      3.4       7357
 -14.231  -34.231     57.4      2.9        963
 -43.909  -29.273     56.8      2.9        540
 -46.867  -21.400     55.8      2.9        611
  -7.267  -30.067     57.8      3.0       1329
   0.600  -21.000     65.4      3.1       2589
 -37.000  -35.737     58.1      2.9        531
 -21.875  -38.500     59.6      2.9        679
   0.000  -27.000     63.8      3.1       1679
   2.000   -6.000     66.1      3.5      15190
   2.000   -3.000     67.9      3.7      38188
 -30.857  -40.857     60.8      2.9        503
 -14.000  -41.571     58.1      2.9        659
   4.750  -15.250     68.5      3.2       4007
  -7.000  -37.857     56.6      2.9        857
   1.000   -1.000     75.9      3.7      87680
   1.000    1.000     72.5      3.7      87680
   8.000  -11.000     62.1      3.3       5480
   6.333   -6.667     65.2      3.4      10049
   0.429  -34.000     51.4      3.0       1090
   7.400  -21.000     61.9      3.1       2439
   7.000  -28.000     58.2      3.0       1515
   4.333   -1.667     71.8      3.6      29645
   2.000    3.000     78.4      3.7      38188
   4.333    1.667     74.5      3.6      29645
   0.333    6.333     67.8      3.5      14721
  -1.400    9.800     71.5      3.4       7787
  -5.000   13.571     65.1      3.3       4659
  10.333   -2.778     72.8      3.4       9801
   4.000    6.000     66.1      3.5      13382
  12.000  -16.000     65.2      3.2       3150
   8.714    1.571     73.3      3.4      12918
  13.000   -8.000     64.9      3.3       5372
  -9.000   18.600     61.5      3.1       2826
 -15.667   20.500     62.7      3.1       2078
   5.000   10.000     63.6      3.3       6918
   1.000   13.571     59.9      3.3       4909
 -23.000   23.706     61.3      3.0       1370
   9.000    6.429     70.8      3.4       8314
  -3.000   19.000     66.9      3.2       2995
 -45.138   11.828     58.3      2.9        812
 -37.182   20.818     57.0      2.9        913
  18.231  -11.769     63.8      3.2       3181
  15.500    3.833     63.0      3.3       5563
  18.000   -4.000     59.3      3.2       4534
   7.000   15.000     61.3      3.2       3915
   2.600   20.000     67.6      3.2       2777
  -9.308   25.923     59.1      3.0       1682
  13.429  -25.429     53.2      3.0       1611
  12.636   10.636     61.6      3.3       4526
  18.571  -20.286     61.6      3.0       1917
   7.800  -35.800     58.6      2.9        953
   0.000  -41.000     58.0      2.9        741
  15.429  -32.143     54.8      2.9       1055
 -19.375  -46.625     56.8      2.8        477
  -8.412  -46.412     59.6      2.8        540
 -28.375  -46.625     55.3      2.9        411
   7.842  -45.211     60.0      2.9        577
  -2.600   25.000     58.2      3.1       1916
 -15.933   28.733     60.7      3.0       1259
  23.105    2.474     62.5      3.2       3269
  13.000   17.400     64.6      3.1       2769
  25.235  -15.824     59.5      3.0       1857
   8.273   22.091     66.3      3.1       2222
  22.000  -28.000     55.7      2.9       1134
  26.909   -7.545     60.9      3.1       2327
  20.000   11.444     59.9      3.1       2957
   0.000  -47.000     58.1      2.8        539
  27.750  -23.250     55.3      2.9       1191
  15.235  -40.176     56.8      2.9        697
  20.000   19.571     59.0      3.0       1900
   4.000   28.000     56.8      3.0       1552
 -30.889   27.444     59.4      2.9        894
  -9.769   33.769     55.8      2.9       1046
  -2.692   31.923     62.1      3.0       1225
  31.000    0.789     60.3      3.0       1998
  14.571   25.429     66.4      3.0       1572
 -23.824   32.765     55.5      2.9        858
  10.077   31.154     56.6      3.0       1209
  29.480   10.920     59.5      3.0       1818
  23.235  -36.176     59.1      2.9        739
  34.826  -16.217     57.6      2.9       1173
 -17.235   37.235     59.2      2.9        786
   3.267   36.067     59.9      2.9        965
  27.824   20.765     58.8      3.0       1327
  37.000   -7.000     51.6      3.0       1321
  22.250   27.500     59.4      2.9       1155
  30.778  -31.556     58.0      2.9        754
  17.571   34.000     57.5      2.9        921
  39.174    3.522     55.2      2.9       1222
  37.455  -25.182     55.3      2.9        779
  16.000  -47.000     56.4      2.8        489
  35.737   17.421     57.1      2.9       1084
  24.000  -45.000     56.7      2.8        479
  44.214   10.071     57.1      2.9        874
  10.733   38.867     58.1      2.9        787
  -4.500   40.125     55.3      2.9        769
  45.000  -15.000     60.6      2.9        768
  30.529   29.588     54.6      2.9        826
  32.789  -40.158     49.7      2.9        495
 -11.947   44.263     60.4      2.9        587
  37.500   26.300     55.3      2.9        747
  25.500   36.250     58.7      2.9        700
  46.077   -3.615     56.8      2.9        856
   3.842   45.211     58.1      2.9        588
