Opt. Const. of B-Spline vs. nm
Wavelength(nm)	n	k
245.600189	1.919174	0.116073	
247.187744	1.901554	0.092055	
248.775314	1.884594	0.078349	
250.362961	1.868975	0.074394	
251.950638	1.855674	0.069578	
253.538361	1.843068	0.065176	
255.126129	1.829843	0.063993	
256.713928	1.817092	0.063398	
258.301788	1.805537	0.062747	
259.889709	1.795230	0.063100	
261.477631	1.785339	0.064398	
263.065613	1.775658	0.066319	
264.653656	1.767842	0.068761	
266.241730	1.761750	0.072023	
267.829865	1.755212	0.076724	
269.418030	1.748605	0.082295	
271.006195	1.743731	0.087577	
272.594421	1.740704	0.092767	
274.182709	1.739062	0.098473	
275.771057	1.738871	0.104671	
277.359406	1.740229	0.111045	
278.947815	1.742853	0.116889	
280.536224	1.746329	0.121390	
282.124695	1.750075	0.123570	
283.713196	1.753837	0.122727	
285.301758	1.758384	0.118973	
286.890320	1.764099	0.112689	
288.478943	1.769374	0.104630	
290.067596	1.772504	0.095545	
291.656281	1.773069	0.086037	
293.244995	1.771081	0.076682	
294.833771	1.767027	0.068336	
296.422546	1.761573	0.061915	
298.011353	1.755326	0.057562	
299.600220	1.748851	0.054835	
301.189087	1.742541	0.053309	
302.778015	1.736542	0.052589	
304.366943	1.730996	0.052338	
305.955933	1.726110	0.052380	
307.544922	1.722058	0.052589	
309.133972	1.718587	0.053001	
310.723022	1.715193	0.053748	
312.312103	1.711645	0.054773	
313.901245	1.708197	0.055675	
315.490387	1.705118	0.056108	
317.079559	1.702450	0.056299	
318.668762	1.700132	0.056737	
320.257996	1.698061	0.057663	
321.847229	1.696050	0.058856	
323.436493	1.693928	0.060063	
325.025818	1.691789	0.061220	
326.615143	1.689910	0.062390	
328.204498	1.688475	0.063629	
329.793854	1.687259	0.064942	
331.383240	1.685926	0.066326	
332.972656	1.684343	0.067768	
334.562103	1.682807	0.069242	
336.151550	1.681652	0.070720	
337.741028	1.680994	0.072191	
339.330536	1.680640	0.073670	
340.920044	1.680392	0.075172	
342.509583	1.680192	0.076724	
344.099152	1.680138	0.078359	
345.688721	1.680321	0.080107	
347.278320	1.680739	0.081907	
348.867920	1.681283	0.083604	
350.457550	1.681848	0.085052	
352.047180	1.682414	0.086239	
353.636871	1.683063	0.087316	
355.226532	1.683880	0.088438	
356.816223	1.684908	0.089652	
358.405945	1.686113	0.090811	
359.995636	1.687452	0.091753	
361.585388	1.688887	0.092369	
363.175110	1.690402	0.092736	
364.764862	1.691980	0.092974	
366.354645	1.693612	0.093186	
367.944397	1.695291	0.093354	
369.534210	1.697020	0.093381	
371.124023	1.698798	0.093174	
372.713806	1.700613	0.092685	
374.303650	1.702420	0.091960	
375.893494	1.704171	0.091053	
377.483337	1.705825	0.090012	
379.073181	1.707371	0.088847	
380.663025	1.708817	0.087542	
382.252869	1.710170	0.086080	
383.842743	1.711440	0.084452	
385.432648	1.712631	0.082676	
387.022522	1.713751	0.080774	
388.612396	1.714804	0.078769	
390.202301	1.715782	0.076672	
391.792175	1.716654	0.074483	
393.382080	1.717384	0.072196	
394.971985	1.717939	0.069808	
396.561890	1.718316	0.067338	
398.151794	1.718553	0.064845	
399.741730	1.718689	0.062387	
401.331635	1.718762	0.060020	
402.921570	1.718775	0.057765	
404.511475	1.718673	0.055582	
406.101379	1.718400	0.053426	
407.691284	1.717902	0.051255	
409.281189	1.717174	0.049057	
410.871155	1.716335	0.046886	
412.461029	1.715520	0.044809	
414.050934	1.714856	0.042890	
415.640869	1.714431	0.041176	
417.230774	1.714101	0.039635	
418.820648	1.713642	0.038201	
420.410553	1.712839	0.036812	
422.000427	1.711492	0.035409	
423.590332	1.709618	0.033974	
425.180237	1.707496	0.032543	
426.770081	1.705415	0.031155	
428.359955	1.703647	0.029847	
429.949799	1.702419	0.028652	
431.539642	1.701656	0.027582	
433.129486	1.701166	0.026633	
434.719330	1.700763	0.025805	
436.309174	1.700270	0.025095	
437.898987	1.699563	0.024497	
439.488831	1.698682	0.023984	
441.078613	1.697701	0.023529	
442.668396	1.696689	0.023107	
444.258148	1.695712	0.022692	
445.847961	1.694815	0.022265	
447.437683	1.693984	0.021822	
449.027435	1.693196	0.021362	
450.617126	1.692430	0.020883	
452.206879	1.691665	0.020384	
453.796570	1.690884	0.019868	
455.386292	1.690081	0.019351	
456.975922	1.689252	0.018851	
458.565582	1.688392	0.018387	
460.155212	1.687499	0.017975	
461.744812	1.686571	0.017631	
463.334473	1.685630	0.017341	
464.924011	1.684713	0.017076	
466.513611	1.683851	0.016810	
468.103180	1.683079	0.016518	
469.692719	1.682426	0.016174	
471.282227	1.681897	0.015771	
472.871735	1.681444	0.015335	
474.461182	1.681013	0.014894	
476.050629	1.680552	0.014476	
477.640076	1.680014	0.014107	
479.229492	1.679351	0.013812	
480.818909	1.678573	0.013584	
482.408264	1.677738	0.013394	
483.997620	1.676905	0.013207	
485.586914	1.676129	0.012995	
487.176208	1.675465	0.012727	
488.765472	1.674961	0.012377	
490.354736	1.674604	0.011947	
491.943939	1.674332	0.011461	
