sec_type,type,name,field,description,r,python,unit
equity,Market Data,Region,region,Where this company is based.,character,str,
equity,Market Data,Symbol,ticker,"A unique series of letters assigned to a security or financial instrument for trading purposes, like 'AAPL' for Apple Inc.",character,str,
equity,Market Data,Price (Intraday),intradayprice,The current price during the trading day.,numeric,float,
equity,Market Data,Price (End of Day),eodprice,Previous close or official exchange closing price (doesn't include after hours trading).,numeric,float,
equity,Market Data,Volume,dayvolume,Today's traded volume.,numeric,float,
equity,Market Data,Volume (End of Day),eodvolume,Previous day's traded volume.,numeric,float,
equity,Market Data,Avg Vol (3 month),avgdailyvol3m,Average trading volume over the past three months.,numeric,float,
equity,Market Data,Market Cap (Intraday),intradaymarketcap,The value of a company on a stock exchange. Calculated by multiplying the total number of shares by the current intraday share price.,numeric,float,
equity,Market Data,Sector,sector,General economic sectors or divisions of economy.,character,str,
equity,Market Data,Industry,industry,For each sector these are the various industries.,character,str,
equity,Market Data,Beta (5Y Monthly),beta,Measurement of how reactive a stock is compared to the overall market defined as the S&P500. This measurement is taken over a 5 year period (updated monthly).,numeric,float,
equity,Market Data,Exchange,exchange,"A marketplace where securities, commodities, derivatives, and other financial instruments are traded, such as the New York Stock Exchange (NYSE) or NASDAQ.",character,str,
equity,Market Data,Short Interest Ratio,days_to_cover_short.value,The number of days required for short sellers to cover their positions based on average daily trading volume.,numeric,float,%
equity,Market Data,Short Interest,short_interest.value,The percentage change in the number of shares sold short over a specific period.,numeric,float,%
equity,Market Data,Short Interest % Change,short_interest_percentage_change.value,The percentage change in the number of shares shorted over a specific period.,numeric,float,%
equity,Market Data,Short % of Float,short_percentage_of_float.value,The percentage of a company's tradable shares that have been sold short.,numeric,float,%
equity,Market Data,Short % of Shares Outstanding,short_percentage_of_shares_outstanding.value,The percentage of a company's total shares that have been sold short.,numeric,float,%
equity,Market Data,Peer Group,peer_group,Name of the peer group.,character,str,
equity,Ratios,Return on Equity (ROE) %,returnonequity.lasttwelvemonths,The ratio of average shareholder equity to net income. This measures efficiency of converting shareholder investment into income.,numeric,float,%
equity,Ratios,1 yr. % Change in EPS (Basic),epsgrowth.lasttwelvemonths,% Change in the basic EPS score over a one year period.,numeric,float,%
equity,Ratios,Debt/Equity (D/E) %,totaldebtequity.lasttwelvemonths,The ratio of a company's total liabilities to its shareholder equity. Used to determine the amount of debt a company is taking on inorder to leverage its assets.,numeric,float,%
equity,Ratios,Current Ratio,currentratio.lasttwelvemonths,Total current assets divided by total current liabilities. Ratio that indicates a company's ability to pay off current costs.,numeric,float,
equity,Ratios,Gross Profit Margin %,grossprofitmargin.lasttwelvemonths,Take the gross profit and divide by the cost of goods in %.,numeric,float,%
equity,Ratios,Return on Assets (ROA) %,returnonassets.lasttwelvemonths,The ratio of net income to total assets of a company. This measures how effective a company is using its assets to create income.,numeric,float,%
equity,Ratios,Long Term Debt/Equity (LT D/E) %,ltdebtequity.lasttwelvemonths,Focuses on just long term debt since long term debt typically has more impact on this ratio.,numeric,float,%
equity,Ratios,Return on Invested Capital (ROIC) %,returnontotalcapital.lasttwelvemonths,The net operating profit after tax divided by the total investment raised by a company by issuing securities to equity shareholders and debt to bondholders.,numeric,float,%
equity,Ratios,Net Income Margin %,netincomemargin.lasttwelvemonths,This ratio represents Net Income (Loss) divided by Total Revenues. This is multiplied by 100. It shows the return on sales after providing for income taxes.,numeric,float,%
equity,Ratios,Altman Z Score,altmanzscoreusingtheaveragestockinformationforaperiod.lasttwelvemonths,1.2A + 1.4B + 3.3C + .6D + 1.0E where A = working capital/total assets and B = retained earnings/total assets and C = earnings before interest and tax / total assets and D = market value of equity / total liabilities and E = sales/ total assets.,numeric,float,
equity,Ratios,Dividend Yield %,dividendyield,The ratio between the expect dividend and the price of the stock on the last closed day.,numeric,float,%
equity,Ratios,Quick Ratio,quickratio.lasttwelvemonths,( Cash + equivalents + marketable securities + accounts receivable ) / current liabilities. Also called acid test ratio.,numeric,float,
equity,Ratios,Total Debt / EBITDA,totaldebtebitda.lasttwelvemonths,Total debt is the total debt a company has assuming it not going to use any cash to pay it off.,numeric,float,%
equity,Ratios,EBITDA Margin %,ebitdamargin.lasttwelvemonths,This ratio shows the percentage of EBITDA to Total Revenues.,numeric,float,%
equity,Ratios,Net Debt / EBITDA,netdebtebitda.lasttwelvemonths,Net debt is the debt left after it pays off debt with existing cash. If net debt and EBITDA are held constant this would be the number of years it would take to pay off debts. Ratios above 4 are considered very high.,numeric,float,
