curie,label,retrieved_at
FABIO:JournalArticle,,2025-10-19T08:07:15.442945
FABIO:ReviewArticle,,2025-10-19T08:07:15.443467
FABIO:ResearchPaper,,2025-10-19T08:07:15.443566
FABIO:BriefCommunication,,2025-10-19T08:07:15.443643
FABIO:Editorial,,2025-10-19T08:07:15.443712
FABIO:Letter,,2025-10-19T08:07:15.443780
FABIO:Comment,,2025-10-19T08:07:15.443844
FABIO:CaseReport,,2025-10-19T08:07:15.443917
FABIO:Book,,2025-10-19T08:07:15.443986
FABIO:BookChapter,,2025-10-19T08:07:15.444049
FABIO:EditedBook,,2025-10-19T08:07:15.444114
FABIO:ReferenceBook,,2025-10-19T08:07:15.444179
FABIO:Textbook,,2025-10-19T08:07:15.444245
FABIO:ConferencePaper,,2025-10-19T08:07:15.444313
FABIO:ConferenceAbstract,,2025-10-19T08:07:15.444376
FABIO:ConferencePoster,,2025-10-19T08:07:15.444441
FABIO:ConferenceProceedings,,2025-10-19T08:07:15.444512
FABIO:DoctoralThesis,,2025-10-19T08:07:15.444585
FABIO:MastersThesis,,2025-10-19T08:07:15.444659
FABIO:BachelorsThesis,,2025-10-19T08:07:15.444735
FABIO:TechnicalReport,,2025-10-19T08:07:15.444803
FABIO:WorkingPaper,,2025-10-19T08:07:15.444873
FABIO:WhitePaper,,2025-10-19T08:07:15.444943
FABIO:PolicyBrief,,2025-10-19T08:07:15.445014
FABIO:DataPaper,,2025-10-19T08:07:15.765037
FABIO:Protocol,,2025-10-19T08:07:15.765210
FABIO:Preprint,,2025-10-19T08:07:15.765302
FABIO:Patent,,2025-10-19T08:07:15.783454
FABIO:Standard,,2025-10-19T08:07:15.783604
FABIO:BlogPost,,2025-10-19T08:07:15.783700
FABIO:Presentation,,2025-10-19T08:07:15.783782
FABIO:Annotation,,2025-10-19T08:07:15.783873
