training_size,payee_freq_accuracy,dt_alpha_accuracy,dt_smart_accuracy,dt_raw_accuracy,dt_shuffled_accuracy,random_forest_accuracy,multinomial_nb_accuracy,payee_freq_time_ms,dt_alpha_time_ms,dt_smart_time_ms,dt_raw_time_ms,dt_shuffled_time_ms,random_forest_time_ms,multinomial_nb_time_ms
10,4.290,5.941,6.931,7.261,5.941,4.950,8.986,0,0,1,0,0,0,0
20,32.673,37.624,8.251,8.581,36.964,14.521,32.464,0,0,0,0,0,0,0
30,35.314,36.304,36.304,7.591,36.304,50.825,43.478,0,0,0,0,0,1,0
40,32.343,33.663,33.663,7.591,33.663,48.845,45.217,0,0,0,1,0,2,0
50,32.343,33.003,33.003,7.591,33.003,33.663,48.696,0,1,1,1,1,2,0
60,35.644,35.314,34.983,7.591,35.314,50.495,49.565,0,1,1,2,1,3,0
70,35.644,51.485,49.175,7.261,50.165,51.815,49.275,0,2,2,3,2,4,0
80,35.644,51.155,51.815,51.155,51.155,52.145,49.855,0,2,2,4,2,5,0
90,35.644,52.475,51.155,7.591,51.485,41.914,48.406,0,3,3,5,3,6,0
100,33.003,52.805,50.495,7.591,52.145,52.145,48.986,0,3,4,7,4,7,0
125,36.634,53.465,10.561,11.221,57.096,56.436,50.435,0,5,6,12,5,10,1
150,36.964,52.145,52.145,5.941,52.475,45.545,51.014,0,8,9,18,8,15,1
175,35.644,55.446,56.106,52.805,55.446,39.274,51.304,0,11,11,24,11,18,1
200,40.924,59.076,60.396,61.056,60.396,62.706,55.652,0,14,14,29,13,20,2
225,42.574,62.706,58.416,62.376,63.036,63.696,59.130,0,16,18,41,16,25,2
250,42.244,60.396,59.736,61.716,60.396,61.386,59.420,0,20,20,47,20,28,2
275,44.884,60.061,64.686,66.007,56.098,63.110,63.478,0,24,26,59,24,33,2
300,45.545,56.402,63.366,66.667,58.841,35.061,63.188,0,28,28,70,29,40,3
325,49.835,63.415,28.383,27.723,60.366,20.732,62.899,0,34,36,89,34,46,3
350,49.835,63.720,70.297,69.967,63.415,49.695,62.319,0,38,39,105,38,52,4
375,49.835,63.110,70.627,69.967,63.110,60.061,62.319,0,47,48,179,47,58,4
400,54.125,68.293,74.587,73.927,67.378,50.000,62.319,0,53,56,190,53,65,4
425,54.125,65.854,67.073,66.463,65.854,67.073,66.087,0,57,58,228,61,67,5
450,56.766,65.854,67.378,66.463,66.463,66.768,66.377,0,65,68,269,65,75,5
475,56.766,69.512,72.866,72.256,71.037,63.720,65.217,0,73,74,363,73,79,5
500,58.416,69.817,70.732,71.646,70.122,67.073,66.667,0,75,79,415,77,86,6
550,72.607,74.390,77.439,77.439,72.866,71.341,67.246,0,95,97,538,90,107,7
600,75.908,77.439,77.134,77.744,76.220,78.963,69.275,0,105,110,680,114,121,7
650,77.228,78.354,79.573,78.659,78.049,73.780,69.855,0,152,145,916,144,137,10
700,79.538,83.232,83.537,82.927,83.232,80.793,71.594,0,207,201,1127,173,157,9
750,81.188,83.841,84.756,85.671,84.451,79.573,75.652,0,247,226,1299,222,175,11
800,82.508,87.805,86.585,89.939,88.110,82.012,77.101,0,319,311,1488,337,208,13
850,82.838,89.024,89.329,91.159,89.024,83.841,77.101,0,394,337,1715,364,231,14
900,82.838,88.415,87.500,90.854,89.024,79.878,76.232,0,400,401,1922,456,240,13
950,81.518,88.110,87.195,90.854,89.024,82.927,76.232,0,435,444,2014,495,267,13
1000,81.188,89.024,88.110,91.159,88.720,83.232,76.232,0,516,488,2103,499,280,14
1050,81.188,89.329,88.720,91.463,88.720,78.659,77.101,0,528,498,2197,559,292,18
1100,80.357,94.135,93.255,94.721,94.428,89.443,84.638,0,678,678,2838,695,327,18
1150,80.357,93.255,93.842,95.015,94.428,87.683,84.348,0,722,751,3013,743,338,20
1200,80.060,93.842,92.082,94.135,94.135,85.630,84.638,0,722,698,2543,670,364,19
1250,80.060,92.962,92.082,94.721,94.428,86.804,84.928,0,702,746,2811,716,391,19
1300,80.060,92.669,92.669,94.721,92.962,89.443,84.928,0,809,825,2992,725,410,22
1350,80.060,92.669,92.082,94.721,92.669,87.683,85.217,0,768,780,2930,871,428,27
1379,80.060,92.375,92.375,94.721,92.082,86.217,85.217,0,846,818,3184,757,436,24
