YTID,start_seconds
-9zc369s0Xs,120.0
-GUVgFcoGCY,140.0
-jUoaJgQ4KY,90.0
-yrDby1E-6w,160.0
2VZeKEW4crE,10.0
3tg7SZB_fRE,40.0
4Coo7UyCb7M,40.0
4bJ4zTs7Wm4,580.0
6NTVXVdhcxE,120.0
739rsvKlVs0,30.0
7CQV5aj_sns,0.0
8X4FLl46p38,70.0
914wfwBbOTo,230.0
AmP9pK3qbgA,50.0
B3aFxHuR7bY,30.0
BzFUdMyNwMk,30.0
C5Udtl5eqNs,10.0
CHAw_VF5WZQ,30.0
CXew0Il8dAk,320.0
Ccg-eV_StFk,30.0
CgQunr3HQKQ,20.0
E4u9L6nCiU4,400.0
E7IKAFcHUJc,10.0
EPoGjemDz_U,0.0
F_Vvf7-H6VY,0.0
Fu2kISk10rw,90.0
FwO0QfWbyug,340.0
Hp3RcoUNILo,0.0
I6r07xA004M,4.0
IQh4YZ9wPxA,170.0
LUy18O2yS4I,30.0
LmafBI1fKw0,260.0
MLnh7GfXXYM,40.0
MVCaRuN2sfY,110.0
NKsjERfDY48,60.0
Ncb2E1ioZXc,30.0
Ngx8HHtKcyU,20.0
OYObhM9iqR4,150.0
OZDZ1tb68rg,140.0
OnvQirjKjdM,110.0
Opwhy9uE-qc,180.0
PCxMawF5Nj8,30.0
QP41g_V-ZhI,540.0
QiuqjUVupps,160.0
QszLaPI4YJI,20.0
SIF-JEorofs,90.0
SkJp9JsByK0,10.0
T1MwKxUAYu0,40.0
TBLrH5OTCuI,320.0
TTw40074zDU,20.0
TcpkOIuQjwk,250.0
TjE_C5IUDnU,70.0
UE5itWrxYQ4,0.0
UjUhhr68tqw,50.0
Ur4QYzmqO1M,450.0
Uvey8mF_DaI,50.0
V60MgSsBqwU,28.0
VPhrtvDPoFU,30.0
Vldk5cScx0U,20.0
Vr9NdfTNHN4,50.0
VvzlRaWULIc,90.0
VzkSK1RuON8,80.0
WAJlE7_U6qc,5.0
WAQPiTfcXeM,220.0
Ws-2fh7T8ZE,0.0
X7P0wtriFOE,0.0
XC9PEuXfmKs,250.0
XT3cJiDLOw8,70.0
XVjo3NDcorU,6.0
YX6fDUhQJMc,40.0
YvaMB2C6JC0,30.0
Z6dEgdN0vw8,140.0
ZDbbbu9sCRk,19.0
_haru9ZpQzY,10.0
a6DB8EBeutY,30.0
a7eH1iAHX9s,0.0
bKWL1i2A6N0,360.0
