gameweek,team_rank,team_name,matchs_played,matchs_won,matchs_drawn,matchs_lost,team_goals_for,team_goals_against,team_goals_difference,team_points
1,1,lyon,1,1,0,0,4,0,4,3
1,2,lille,1,1,0,0,3,0,3,3
1,3,marseille,1,1,0,0,3,0,3,3
1,4,guingamp,1,1,0,0,3,1,2,3
1,5,paris_saint_germain,1,1,0,0,2,0,2,3
1,6,monaco,1,1,0,0,3,2,1,3
1,7,montpellier,1,1,0,0,1,0,1,3
1,8,saint_etienne,1,1,0,0,1,0,1,3
1,9,angers,1,0,1,0,2,2,0,1
1,10,bordeaux,1,0,1,0,2,2,0,1
1,11,rennes,1,0,1,0,1,1,0,1
1,12,troyes,1,0,1,0,1,1,0,1
1,13,toulouse,1,0,0,1,2,3,-1,0
1,14,caen,1,0,0,1,0,1,-1,0
1,15,nice,1,0,0,1,0,1,-1,0
1,16,metz,1,0,0,1,1,3,-2,0
1,17,amiens,1,0,0,1,0,2,-2,0
1,18,Dijon,1,0,0,1,0,3,-3,0
1,19,nantes,1,0,0,1,0,3,-3,0
1,20,strasbourg,1,0,0,1,0,4,-4,0
2,1,lyon,2,2,0,0,6,1,5,6
2,2,paris_saint_germain,2,2,0,0,5,0,5,6
2,3,monaco,2,2,0,0,7,3,4,6
2,4,marseille,2,2,0,0,4,0,4,6
2,5,saint_etienne,2,2,0,0,2,0,2,6
2,6,angers,2,1,1,0,4,2,2,4
2,7,bordeaux,2,1,1,0,4,2,2,4
2,8,troyes,2,1,1,0,3,2,1,4
2,9,lille,2,1,0,1,3,3,0,3
2,10,toulouse,2,1,0,1,3,3,0,3
2,11,montpellier,2,1,0,1,1,1,0,3
2,12,guingamp,2,1,0,1,3,4,-1,3
2,13,strasbourg,2,1,0,1,3,4,-1,3
2,14,rennes,2,0,1,1,2,3,-1,1
2,15,nice,2,0,0,2,1,3,-2,0
2,16,caen,2,0,0,2,0,2,-2,0
2,17,metz,2,0,0,2,1,5,-4,0
2,18,amiens,2,0,0,2,0,4,-4,0
2,19,nantes,2,0,0,2,0,4,-4,0
2,20,Dijon,2,0,0,2,1,7,-6,0
3,1,paris_saint_germain,3,3,0,0,11,2,9,9
3,2,monaco,3,3,0,0,8,3,5,9
3,3,saint_etienne,3,3,0,0,5,0,5,9
3,4,lyon,3,2,1,0,9,4,5,7
3,5,marseille,3,2,1,0,5,1,4,7
3,6,bordeaux,3,1,2,0,7,5,2,5
3,7,angers,3,1,2,0,5,3,2,5
3,8,troyes,3,1,1,1,3,3,0,4
3,9,montpellier,3,1,1,1,2,2,0,4
3,10,strasbourg,3,1,1,1,4,5,-1,4
3,11,nice,3,1,0,2,3,3,0,3
3,12,caen,3,1,0,2,2,2,0,3
3,13,lille,3,1,0,2,3,5,-2,3
3,14,guingamp,3,1,0,2,3,6,-3,3
3,15,nantes,3,1,0,2,1,4,-3,3
3,16,toulouse,3,1,0,2,5,9,-4,3
3,17,rennes,3,0,2,1,4,5,-1,2
3,18,Dijon,3,0,1,2,3,9,-6,1
3,19,metz,3,0,0,3,1,6,-5,0
3,20,amiens,3,0,0,3,0,7,-7,0
4,1,paris_saint_germain,4,4,0,0,14,2,12,12
4,2,monaco,4,4,0,0,14,4,10,12
4,3,saint_etienne,4,3,0,1,5,3,2,9
4,4,lyon,4,2,2,0,9,4,5,8
4,5,bordeaux,4,2,2,0,9,6,3,8
4,6,marseille,4,2,1,1,6,7,-1,7
4,7,angers,4,1,3,0,6,4,2,6
4,8,caen,4,2,0,2,3,2,1,6
4,9,guingamp,4,2,0,2,5,6,-1,6
4,10,toulouse,4,2,0,2,8,11,-3,6
4,11,troyes,4,1,1,2,4,5,-1,4
4,12,montpellier,4,1,1,2,3,4,-1,4
4,13,lille,4,1,1,2,4,6,-2,4
4,14,strasbourg,4,1,1,2,4,7,-3,4
4,15,nantes,4,1,1,2,1,4,-3,4
4,16,Dijon,4,1,1,2,5,10,-5,4
4,17,nice,4,1,0,3,3,6,-3,3
4,18,amiens,4,1,0,3,3,7,-4,3
4,19,rennes,4,0,2,2,6,8,-2,2
4,20,metz,4,0,0,4,1,7,-6,0
5,1,paris_saint_germain,5,5,0,0,19,3,16,15
5,2,monaco,5,4,0,1,14,8,6,12
5,3,lyon,5,3,2,0,11,5,6,11
5,4,saint_etienne,5,3,1,1,6,4,2,10
5,5,bordeaux,5,2,3,0,9,6,3,9
5,6,caen,5,3,0,2,5,3,2,9
5,7,angers,5,1,4,0,7,5,2,7
5,8,nantes,5,2,1,2,2,4,-2,7
5,9,toulouse,5,2,1,2,8,11,-3,7
5,10,marseille,5,2,1,2,7,10,-3,7
5,11,nice,5,2,0,3,7,6,1,6
5,12,guingamp,5,2,0,3,6,8,-2,6
5,13,amiens,5,2,0,3,4,7,-3,6
5,14,rennes,5,1,2,2,9,9,0,5
5,15,troyes,5,1,2,2,4,5,-1,5
5,16,lille,5,1,2,2,4,6,-2,5
5,17,montpellier,5,1,1,3,3,5,-2,4
5,18,strasbourg,5,1,1,3,4,8,-4,4
5,19,Dijon,5,1,1,3,6,12,-6,4
5,20,metz,5,0,0,5,2,12,-10,0
6,1,paris_saint_germain,6,6,0,0,21,3,18,18
6,2,monaco,6,5,0,1,17,8,9,15
6,3,saint_etienne,6,4,1,1,7,4,3,13
6,4,bordeaux,6,3,3,0,10,6,4,12
6,5,lyon,6,3,2,1,11,7,4,11
6,6,marseille,6,3,1,2,9,10,-1,10
6,7,nantes,6,3,1,2,3,4,-1,10
6,8,nice,6,3,0,3,8,6,2,9
6,9,caen,6,3,0,3,5,4,1,9
6,10,guingamp,6,3,0,3,7,8,-1,9
6,11,angers,6,1,4,1,7,6,1,7
6,12,montpellier,6,2,1,3,4,5,-1,7
6,13,toulouse,6,2,1,3,8,12,-4,7
6,14,amiens,6,2,0,4,4,9,-5,6
6,15,rennes,6,1,2,3,9,10,-1,5
6,16,troyes,6,1,2,3,4,6,-2,5
6,17,lille,6,1,2,3,4,7,-3,5
6,18,Dijon,6,1,1,4,6,13,-7,4
6,19,strasbourg,6,1,1,4,4,11,-7,4
6,20,metz,6,1,0,5,3,12,-9,3
7,1,paris_saint_germain,7,6,1,0,21,3,18,19
7,2,monaco,7,6,0,1,21,8,13,18
7,3,bordeaux,7,4,3,0,13,7,6,15
7,4,saint_etienne,7,4,2,1,9,6,3,14
7,5,marseille,7,4,1,2,11,10,1,13
7,6,nantes,7,4,1,2,5,5,0,13
7,7,lyon,7,3,3,1,14,10,4,12
7,8,caen,7,4,0,3,6,4,2,12
7,9,nice,7,3,1,3,10,8,2,10
7,10,guingamp,7,3,0,4,8,11,-3,9
7,11,angers,7,1,5,1,9,8,1,8
7,12,troyes,7,2,2,3,5,6,-1,8
7,13,montpellier,7,2,2,3,4,5,-1,8
7,14,toulouse,7,2,1,4,8,14,-6,7
7,15,rennes,7,1,3,3,11,12,-1,6
7,16,amiens,7,2,0,5,4,10,-6,6
7,17,Dijon,7,1,2,4,9,16,-7,5
7,18,lille,7,1,2,4,4,11,-7,5
7,19,strasbourg,7,1,1,5,5,13,-8,4
7,20,metz,7,1,0,6,3,13,-10,3
8,1,paris_saint_germain,8,7,1,0,27,5,22,22
8,2,monaco,9,6,1,2,24,12,12,19
8,3,lyon,9,4,4,1,20,15,5,16
8,4,marseille,8,5,1,2,15,12,3,16
8,5,nantes,8,5,1,2,6,5,1,16
8,6,caen,8,5,0,3,7,4,3,15
8,7,bordeaux,8,4,3,1,15,13,2,15
8,8,saint_etienne,8,4,2,2,10,8,2,14
8,9,troyes,8,3,2,3,7,7,0,11
8,10,nice,8,3,1,4,12,12,0,10
8,11,guingamp,8,3,1,4,9,12,-3,10
8,12,angers,8,1,6,1,12,11,1,9
8,13,montpellier,8,2,3,3,5,6,-1,9
8,14,toulouse,8,2,2,4,9,15,-6,8
8,15,rennes,8,1,3,4,11,13,-2,6
8,16,amiens,7,2,0,5,4,10,-6,6
8,17,Dijon,8,1,3,4,10,17,-7,6
8,18,lille,7,1,2,4,4,11,-7,5
8,19,strasbourg,8,1,2,5,6,14,-8,5
8,20,metz,8,1,0,7,3,14,-11,3
9,1,paris_saint_germain,9,8,1,0,29,6,23,25
9,2,monaco,9,6,1,2,24,12,12,19
9,3,marseille,9,5,2,2,18,15,3,17
9,4,saint_etienne,10,5,2,3,13,10,3,17
9,5,nantes,9,5,2,2,7,6,1,17
9,6,lyon,9,4,4,1,20,15,5,16
9,7,bordeaux,9,4,4,1,16,14,2,16
9,8,montpellier,10,4,3,3,8,6,2,15
9,9,caen,9,5,0,4,7,6,1,15
9,10,guingamp,9,4,1,4,11,12,-1,13
9,11,angers,9,2,6,1,14,11,3,12
9,12,troyes,9,3,3,3,9,9,0,12
9,13,toulouse,9,3,2,4,10,15,-5,11
9,14,nice,9,3,1,5,12,14,-2,10
9,15,rennes,9,1,3,5,11,15,-4,6
9,16,lille,8,1,3,4,6,13,-7,6
9,17,amiens,8,2,0,6,4,11,-7,6
9,18,Dijon,9,1,3,5,11,19,-8,6
9,19,strasbourg,9,1,3,5,9,17,-8,6
9,20,metz,9,1,0,8,4,17,-13,3
10,1,paris_saint_germain,11,9,2,0,34,8,26,29
10,2,monaco,10,7,1,2,26,12,14,22
10,3,nantes,10,6,2,2,9,7,2,20
10,4,lyon,10,5,4,1,25,15,10,19
10,5,marseille,10,5,3,2,20,17,3,18
10,6,saint_etienne,10,5,2,3,13,10,3,17
10,7,bordeaux,10,4,4,2,16,15,1,16
10,8,montpellier,10,4,3,3,8,6,2,15
10,9,caen,10,5,0,5,7,8,-1,15
10,10,toulouse,10,4,2,4,11,15,-4,14
10,11,guingamp,10,4,1,5,12,14,-2,13
10,12,angers,10,2,6,2,14,12,2,12
10,13,troyes,10,3,3,4,9,14,-5,12
10,14,nice,11,3,1,7,13,19,-6,10
10,15,rennes,10,2,3,5,12,15,-3,9
10,16,amiens,9,3,0,6,5,11,-6,9
10,17,Dijon,10,2,3,5,13,20,-7,9
10,18,strasbourg,10,2,3,5,11,18,-7,9
10,19,lille,9,1,3,5,6,14,-8,6
10,20,metz,10,1,0,9,5,19,-14,3
11,1,paris_saint_germain,11,9,2,0,34,8,26,29
11,2,monaco,11,8,1,2,28,12,16,25
11,3,lyon,11,6,4,1,27,15,12,22
11,4,marseille,11,6,3,2,21,17,4,21
11,5,nantes,11,6,2,3,9,8,1,20
11,6,saint_etienne,11,5,3,3,13,10,3,18
11,7,caen,11,6,0,5,8,8,0,18
11,8,bordeaux,12,4,4,4,16,18,-2,16
11,9,montpellier,11,4,3,4,8,7,1,15
11,10,rennes,12,4,3,5,14,15,-1,15
11,11,toulouse,11,4,3,4,11,15,-4,15
11,12,guingamp,11,4,2,5,13,15,-2,14
11,13,angers,11,2,7,2,16,14,2,13
11,14,Dijon,11,3,3,5,14,20,-6,12
11,15,troyes,11,3,3,5,9,15,-6,12
11,16,nice,11,3,1,7,13,19,-6,10
11,17,amiens,10,3,1,6,6,12,-6,10
11,18,strasbourg,11,2,4,5,13,20,-7,10
11,19,lille,10,1,3,6,6,15,-9,6
11,20,metz,11,1,0,10,5,21,-16,3
12,1,paris_saint_germain,12,10,2,0,39,8,31,32
12,2,monaco,13,9,2,2,35,13,22,29
12,3,lyon,12,7,4,1,32,15,17,25
12,4,marseille,12,7,3,2,26,17,9,24
12,5,nantes,12,7,2,3,11,9,2,23
12,6,saint_etienne,12,5,3,4,13,15,-2,18
12,7,caen,12,6,0,6,8,13,-5,18
12,8,montpellier,12,4,4,4,9,8,1,16
12,9,bordeaux,12,4,4,4,16,18,-2,16
12,10,rennes,12,4,3,5,14,15,-1,15
12,11,troyes,12,4,3,5,12,15,-3,15
12,12,toulouse,12,4,3,5,12,17,-5,15
12,13,guingamp,12,4,2,6,13,21,-8,14
12,14,angers,12,2,7,3,16,19,-3,13
12,15,nice,12,4,1,7,14,19,-5,13
12,16,amiens,12,3,3,6,8,14,-6,12
12,17,Dijon,12,3,3,6,14,21,-7,12
12,18,strasbourg,12,2,4,6,13,23,-10,10
12,19,lille,11,2,3,6,9,15,-6,9
12,20,metz,12,1,0,11,5,24,-19,3
13,1,paris_saint_germain,13,11,2,0,43,9,34,35
13,2,monaco,13,9,2,2,35,13,22,29
13,3,lyon,13,7,5,1,32,15,17,26
13,4,marseille,13,7,4,2,27,18,9,25
13,5,nantes,13,7,2,4,12,13,-1,23
13,6,caen,13,6,1,6,9,14,-5,19
13,7,saint_etienne,13,5,3,5,14,18,-4,18
13,8,montpellier,13,4,5,4,9,8,1,17
13,9,bordeaux,13,4,5,4,17,19,-2,17
13,10,toulouse,13,4,4,5,12,17,-5,16
13,11,rennes,13,4,3,6,15,17,-2,15
13,12,amiens,13,4,3,6,11,14,-3,15
13,13,Dijon,13,4,3,6,17,22,-5,15
13,14,troyes,13,4,3,6,13,18,-5,15
13,15,guingamp,13,4,3,6,14,22,-8,15
13,16,angers,13,2,8,3,17,20,-3,14
13,17,nice,13,4,2,7,15,20,-5,14
13,18,strasbourg,13,3,4,6,15,24,-9,13
13,19,lille,13,3,3,7,12,19,-7,12
13,20,metz,13,1,1,11,5,24,-19,4
14,1,paris_saint_germain,14,12,2,0,45,10,35,38
14,2,lyon,14,8,5,1,37,15,22,29
14,3,monaco,14,9,2,3,36,15,21,29
14,4,marseille,14,8,4,2,28,18,10,28
