curie,label,retrieved_at
QUDT:J,,2025-10-19T08:08:21.697739
QUDT:KiloJ,,2025-10-19T08:08:21.697843
QUDT:MegaJ,,2025-10-19T08:08:21.697919
QUDT:GigaJ,,2025-10-19T08:08:21.697988
QUDT:W-HR,,2025-10-19T08:08:21.698052
QUDT:KiloW-HR,,2025-10-19T08:08:21.698116
QUDT:MegaW-HR,,2025-10-19T08:08:21.698180
QUDT:GigaW-HR,,2025-10-19T08:08:21.698244
QUDT:TeraW-HR,,2025-10-19T08:08:21.698307
QUDT:CAL,,2025-10-19T08:08:21.698383
QUDT:KiloCAL,,2025-10-19T08:08:21.698466
QUDT:BTU_IT,,2025-10-19T08:08:21.698539
QUDT:THM_US,,2025-10-19T08:08:21.698608
QUDT:EV,,2025-10-19T08:08:21.698676
QUDT:TOE,,2025-10-19T08:08:21.698742
QUDT:W,,2025-10-19T08:08:21.698821
QUDT:KiloW,,2025-10-19T08:08:21.698892
QUDT:MegaW,,2025-10-19T08:08:21.698961
QUDT:GigaW,,2025-10-19T08:08:21.699032
QUDT:TeraW,,2025-10-19T08:08:21.699104
QUDT:HP,,2025-10-19T08:08:21.699175
