#         4977           2           8
# Fri Oct 10 11:09:03 2025
# thar_spec_MM201006_r2000.dat
# UVES high res ThAr spectrum thar_spec_MM201006.dat convolved to R=2,000
# 
# 
# 
# lambda (um)   Intensity

     0.303309      390.224
     0.303385      3542.14
     0.303460      104.439
     0.303536      49.8496
     0.303612      16.7023
     0.303688      15.2657
     0.303764      18.1758
     0.303840      9.37787
     0.303916      5.37743
     0.303992      6.37876
     0.304068      2.74855
     0.304144      14.2134
     0.304220      5.89698
     0.304296      17.1092
     0.304372      5.27101
     0.304448      3.86965
     0.304524      17.1867
     0.304600      11.9103
     0.304676      20.5545
     0.304753      19.3952
     0.304829      11.6800
     0.304905      43.9251
     0.304981      24.4181
     0.305057      44.6350
     0.305134      7.63401
     0.305210      12.7275
     0.305286      7.09549
     0.305363      6.95940
     0.305439      10.6627
     0.305515      8.37252
     0.305592      5.58122
     0.305668      6.11504
     0.305745      12.7381
     0.305821      16.9436
     0.305897      5.80858
     0.305974      4.06310
     0.306050      60.9512
     0.306127      26.7817
     0.306203      37.7120
     0.306280      32.2214
     0.306357      8.09775
     0.306433      5.49857
     0.306510      10.8521
     0.306586      17.4556
     0.306663      14.7672
     0.306740      47.6772
     0.306816      9.48267
     0.306893      59.1799
     0.306970      8.36321
     0.307047      28.8431
     0.307123      16.3467
     0.307200      38.7350
     0.307277      15.4700
     0.307354      9.20178
     0.307431      8.63284
     0.307507      21.3145
     0.307584      12.3211
     0.307661      5.53822
     0.307738      20.3827
     0.307815      11.6405
     0.307892      45.0976
     0.307969      6.80409
     0.308046      35.4333
     0.308123      5.29000
     0.308200      33.3151
     0.308277      51.2653
     0.308354      16.9754
     0.308431      9.14108
     0.308508      28.5307
     0.308585      7.77915
     0.308663      13.8669
     0.308740      12.2277
     0.308817      79.4514
     0.308894      17.2837
     0.308971      17.2890
     0.309049      15.7787
     0.309126      6.40283
     0.309203      10.6436
     0.309280      53.5043
     0.309358      180.110
     0.309435      11.5744
     0.309512      14.8313
     0.309590      11.4211
     0.309667      13.7228
     0.309745      10.7756
     0.309822      8.02996
     0.309900      9.50675
     0.309977      21.5127
     0.310055      12.6115
     0.310132      24.0979
     0.310210      8.64252
     0.310287      18.3101
     0.310365      2.35553
     0.310442      45.2289
     0.310520      33.8338
     0.310598      41.7306
     0.310675      32.4249
     0.310753      7.06393
     0.310831      110.358
     0.310908      4.33963
     0.310986      42.2751
     0.311064      16.7361
     0.311142      14.0808
     0.311219      11.2586
     0.311297      6.51443
     0.311375      11.8892
     0.311453      18.3052
     0.311531      6.65869
     0.311609      89.0407
     0.311686      13.7067
     0.311764      19.6077
     0.311842      3.42891
