# wavelength intensity
0.4000008 0.00e+00
0.4001008 0.00e+00
0.4002008 0.00e+00
0.4003008 0.00e+00
0.4004008 0.00e+00
0.4005008 0.00e+00
0.4006008 0.00e+00
0.4007008 0.00e+00
0.4008008 0.00e+00
0.4009008 0.00e+00
0.4010008 0.00e+00
0.4011008 0.00e+00
0.4012008 0.00e+00
0.4013008 0.00e+00
0.4014008 1.08e-312
0.4015008 7.84e-294
0.4016008 1.47e-275
0.4017008 7.08e-258
0.4018008 8.82e-241
0.4019008 2.84e-224
0.4020008 2.35e-208
0.4021008 5.04e-193
0.4022008 2.79e-178
0.4023008 3.97e-164
0.4024008 1.46e-150
0.4025008 1.39e-137
0.4026008 3.40e-125
0.4027008 2.15e-113
0.4028008 3.51e-102
0.4029008 1.48e-91
0.4030008 1.61e-81
0.4031008 4.51e-72
0.4032008 3.26e-63
0.4033008 6.09e-55
0.4034008 2.94e-47
0.4035008 3.65e-40
0.4036008 1.17e-33
0.4037008 9.71e-28
0.4038008 2.07e-22
0.4039008 1.14e-17
0.4040008 1.63e-13
0.4041008 5.98e-10
0.4042008 5.67e-07
0.4043008 1.39e-04
0.4044008 8.75e-03
0.4045008 1.43e-01
0.4046008 5.99e-01
0.4047008 6.50e-01
0.4048008 1.82e-01
0.4049008 1.31e-02
0.4050008 2.45e-04
0.4051008 1.18e-06
0.4052008 1.46e-09
0.4053008 4.69e-13
0.4054008 3.87e-17
0.4055008 8.26e-22
0.4056008 4.55e-27
0.4057008 6.46e-33
0.4058008 2.37e-39
0.4059008 2.24e-46
0.4060008 5.47e-54
0.4061008 3.44e-62
0.4062008 5.61e-71
0.4063008 4.05e-65
0.4064008 8.10e-57
0.4065008 4.27e-49
0.4066008 5.93e-42
0.4067008 2.17e-35
0.4068008 2.09e-29
0.4069008 5.32e-24
0.4070008 3.56e-19
0.4071008 6.27e-15
0.4072008 2.91e-11
0.4073008 3.57e-08
0.4074008 1.15e-05
0.4075008 9.76e-04
0.4076008 2.18e-02
0.4077008 1.29e-01
0.4078008 2.00e-01
0.4079008 8.18e-02
0.4080008 8.82e-03
0.4081008 2.50e-04
0.4082008 1.87e-06
0.4083008 3.69e-09
0.4084008 1.92e-12
0.4085008 2.62e-16
0.4086008 9.46e-21
0.4087008 8.98e-26
0.4088008 2.25e-31
0.4089008 1.48e-37
0.4090008 2.57e-44
0.4091008 1.18e-51
0.4092008 1.42e-59
0.4093008 4.50e-68
0.4094008 3.76e-77
0.4095008 8.29e-87
0.4096008 4.81e-97
0.4097008 7.36e-108
0.4098008 2.96e-119
0.4099008 3.15e-131
0.4100008 8.80e-144
0.4101008 6.48e-157
0.4102008 1.26e-170
0.4103008 6.44e-185
0.4104008 8.67e-200
0.4105008 3.08e-215
0.4106008 2.88e-231
0.4107008 7.09e-248
0.4108008 4.60e-265
0.4109008 7.87e-283
0.4110008 3.54e-301
0.4111008 4.20e-320
0.4112008 0.00e+00
0.4113008 0.00e+00
0.4114008 0.00e+00
0.4115008 0.00e+00
0.4116008 0.00e+00
0.4117008 0.00e+00
0.4118008 0.00e+00
0.4119008 0.00e+00
0.4120008 0.00e+00
0.4121008 0.00e+00
0.4122008 0.00e+00
0.4123008 0.00e+00
