Configuration item,Key ID,Type,Scale,Unit,Default value,Description
CFG-GEOFENCE-CONFLVL,0x20240011,E1,-,-,0,Required confidence level for state evaluation This value times the position's standard deviation (sigma) defines the confidence band.
CFG-GEOFENCE-USE_PIO,0x10240012,L,-,-,0,Use PIO combined fence state output
CFG-GEOFENCE-PINPOL,0x20240013,E1,-,-,0,PIO pin polarity
CFG-GEOFENCE-PIN,0x20240014,U1,-,-,3,PIO pin number
CFG-GEOFENCE-USE_FENCE1,0x10240020,L,-,-,0,Use first geofence
CFG-GEOFENCE-FENCE1_LAT,0x40240021,I4,0.0000001,deg,0,Latitude of the first geofence circle center
CFG-GEOFENCE-FENCE1_LON,0x40240022,I4,0.0000001,deg,0,Longitude of the first geofence circle center
CFG-GEOFENCE-FENCE1_RAD,0x40240023,U4,0.01,m,0,Radius of the first geofence circle
CFG-GEOFENCE-USE_FENCE2,0x10240030,L,-,-,0,Use second geofence
CFG-GEOFENCE-FENCE2_LAT,0x40240031,I4,0.0000001,deg,0,circle center
CFG-GEOFENCE-FENCE2_LON,0x40240032,I4,0.0000001,deg,0,Longitude of the second geofence circle center
CFG-GEOFENCE-FENCE2_RAD,0x40240033,U4,0.01,m,0,Radius of the second geofence circle
CFG-GEOFENCE-USE_FENCE3,0x10240040,L,-,-,0,Use third geofence
CFG-GEOFENCE-FENCE3_LAT,0x40240041,I4,0.0000001,deg,0,circle center
CFG-GEOFENCE-FENCE3_LON,0x40240042,I4,0.0000001,deg,0,Longitude of the third geofence circle center
CFG-GEOFENCE-FENCE3_RAD,0x40240043,U4,0.01,m,0,Radius of the third geofence circle/
CFG-GEOFENCE-USE_FENCE4,0x10240050,L,-,-,0,Use fourth geofence
CFG-GEOFENCE-FENCE4_LAT,0x40240051,I4,0.0000001,deg,0,circle center
CFG-GEOFENCE-FENCE4_LON,0x40240052,I4,0.0000001,deg,0,Longitude of the fourth geofence circle center
CFG-GEOFENCE-FENCE4_RAD,0x40240053,U4,0.01,m,0,Radius of the fourth geofence circle
CFG-HW-ANT_CFG_VOLTCTRL,0x10a3002e,L,-,-,0,Active antenna voltage control flag Enable active antenna voltage control flag.
CFG-HW-ANT_CFG_SHORTDET,0x10a3002f,L,-,-,0,Short antenna detection flag Enable short antenna detection flag.
CFG-HW-ANT_CFG_SHORTDET_POL,0x10a30030,L,-,-,1,Short antenna detection polarity Set to true if polarity of the antenna short detection is active low.
CFG-HW-ANT_CFG_OPENDET,0x10a30031,L,-,-,0,Open antenna detection flag Enable open antenna detection flag.
CFG-HW-ANT_CFG_OPENDET_POL,0x10a30032,L,-,-,1,Open antenna detection polarity Set to true if polarity of the antenna open detection is active low.
CFG-HW-ANT_CFG_PWRDOWN,0x10a30033,L,-,-,0,Power down antenna flag Enable power down antenna logic in the event of antenna short circuit. CFGHWANT_CFG_ SHORTDET must be enabled to use this feature.
CFG-HW-ANT_CFG_PWRDOWN_POL,0x10a30034,L,-,-,1,Power down antenna logic polarity Set to true if polarity of the antenna power down logic is active high.
CFG-HW-ANT_CFG_RECOVER,0x10a30035,L,-,-,0,Automatic recovery from short state flag Enable automatic recovery from short state.
CFG-HW-ANT_SUP_SWITCH_PIN,0x20a30036,U1,-,-,16,ANT1 PIO number Antenna Switch (ANT1) PIO number.
CFG-HW-ANT_SUP_SHORT_PIN,0x20a30037,U1,-,-,15,ANT0 PIO number Antenna Short (ANT0) PIO number.
CFG-HW-ANT_SUP_OPEN_PIN,0x20a30038,U1,-,-,8,ANT2 PIO number Antenna Switch (ANT2) PIO number.
CFG-I2C-ADDRESS,0x20510001,U1,-,-,132,I2C slave address of the receiver
CFG-I2C-EXTENDEDTIMEOUT,0x10510002,L,-,-,0,Flag to disable timeouting the interface after 1.5 s
CFG-I2C-ENABLED,0x10510003,L,-,-,1,Flag to indicate if the I2C interface should be enabled
CFG-I2CINPROT-UBX,0x10710001,L,-,-,1,Flag to indicate if UBX should be an input protocol on I2C
CFG-I2CINPROT-NMEA,0x10710002,L,-,-,1,Flag to indicate if NMEA should be an input protocol on I2C
CFG-I2CINPROT-RTCM3X,0x10710004,L,-,-,1,Flag to indicate if RTCM3X should be an input protocol on I2C 
CFG-I2COUTPROT-UBX,0x10720001,L,-,-,1,Flag to indicate if UBX should be an output protocol on I2C
