START,,,,,,,,,
10,9,,,,,,,,
0,0.25,0.5,0.75,1,1.5,2,3,4,5.2
0,0.1,0.2287,0.4,0.6,0.7293,0.8,1,1.0446,
0,0,0,0,0,0,0,0,0,0
0,0.0108,0.0208,0.0317,0.0435,0.0626,0.0749,0.084,0.0954,0.1113
0,0.0175,0.0298,0.0402,0.0512,0.0789,0.0943,0.1102,0.1243,0.1493
0,0.0251,0.0369,0.0474,0.0633,0.0933,0.1133,0.136,0.156,0.1883
0,0.034,0.0517,0.0672,0.0849,0.1158,0.1349,0.1595,0.1845,0.2222
0,0.038,0.0584,0.0752,0.0907,0.1152,0.1316,0.1562,0.1839,0.2162
0,0.0365,0.0565,0.0715,0.0852,0.1047,0.1197,0.1397,0.1702,0.1943
0,0.01,0.0155,0.0195,0.0218,0.0255,0.0286,0.0405,0.0464,0.0464
0,0,0,0,0,0,0,0,0,0
END,,,,,,,,,
