name
Analysis
Pipeline
Compression
Denoising
dF/F estimation
Ephys curation
Ephys postprocessing
Ephys preprocessing
Ephys visualization
Fiducial segmentation
File format conversion
Fluorescence event detection
Image atlas alignment
Image background subtraction
Image cell classification
Image cell quantification
Image cell segmentation
Image cross-image alignment
Image destriping
Image flat-field correction
Image importing
Image mip visualization
Image radial correction
Image thresholding
Image tile alignment
Image tile fusing
Image tile projection
Image spot detection
Image spot spectral unmixing
Model evaluation
Model training
Neuron skeleton processing
Neuropil subtraction
Other
Simulation
Skull stripping
Spatial timeseries demixing
Spike sorting
Video motion correction
Video plane decrosstalk
Video ROI classification
Video ROI cross session matching
Video ROI segmentation
Video ROI timeseries extraction
