name,abbreviation,registry_abbreviation,registry_identifier
AA Opto Electronic,,,
ASUS,,ROR,00bxkz165
Abcam,,ROR,02e1wjw63
Addgene,,ROR,01nn1pw54
Ailipu Technology Co,Ailipu,,
Allen Institute,AI,ROR,03cpe7c52
Allen Institute for Brain Science,AIBS,ROR,00dcv1019
Allen Institute for Neural Dynamics,AIND,ROR,04szwah67
Allied,,,
ams OSRAM,,ROR,045d0h266
Applied Scientific Instrumentation,ASI,,
Arecont Vision Costar,,,
Arduino,,,
Basler,,,
Baylor College of Medicine,BCM,ROR,02pttbw34
Boston University,BU,ROR,05qwgg493
Cambridge Technology,,,
Cajal Neuroscience,Cajal,ROR,05pdc0q70
Carl Zeiss,,ROR,01xk5xs43
Champalimaud Foundation,Champalimaud,ROR,03g001n57
Chan Zuckerberg Initiative,CZI,ROR,02qenvm24
Charles River Laboratories,CRL,ROR,03ndmsg87
Chroma,,,
Coherent Scientific,,ROR,031tysd23
Columbia University,Columbia,ROR,00hj8s172
Computar,,,
Conoptics,,,
CrestOptics,,,
Custom,,,
DigiKey,,,
Dodotronic,,,
Doric,,ROR,059n53q30
Ealing,,,
Edmund Optics,,ROR,01j1gwp17
Emory University,Emory,ROR,03czfpz43
Euresys,,,
Fujinon,,,
Hamamatsu,,ROR,03natb733
Hamilton,,,
Huazhong University of Science and Technology,HUST,ROR,00p991c53
IR Robot Co,,,
ISL Products International,ISL,,
Infinity Photo-Optical,,,
Integrated DNA Technologies,IDT,ROR,009jvpf03
Interuniversity Microelectronics Center,IMEC,ROR,02kcbn207
Invitrogen,,ROR,03x1ewr52
Item,,,
Jackson Laboratory,JAX,ROR,021sy4w91
Janelia Research Campus,Janelia,ROR,013sk6x84
Jenoptik,,ROR,05g7t5c49
Johns Hopkins University,JHU,ROR,00za53h95
Julabo,,,
Kowa,,ROR,03zbwg482
LASOS Lasertechnik,LASOS,,
LG,,ROR,02b948n83
Leica,,,
Lumen Dynamics,,,
LifeCanvas,,,
Lumencor,,,
Massachusetts Institute of Technology,MIT,ROR,042nb2s44
MBF Bioscience,MBF,ROR,02zynam48
McGovern Institute for Brain Research,MIBR,ROR,05ymca674
MKS Newport,,ROR,00k17f049
MPI,MPI,,
Meadowlark Optics,,ROR,00n8qbq54
Michael J. Fox Foundation for Parkinson's Research,MJFF,ROR,03arq3225
"Midwest Optical Systems, Inc.",MidOpt,,
MIT Department of Brain and Cognitive Sciences,MIT-BCS,,
Mitutuyo,,,
NResearch Inc,,,
National Center for Complementary and Integrative Health,NCCIH,ROR,00190t495
National Institute of Mental Health,NIMH,ROR,04xeg9z08
National Institute of Neurological Disorders and Stroke,NINDS,ROR,01s5ya894
National Instruments,,ROR,026exqw73
Navitar,,,
NeuraLynx,,,
Neurophotometrics,,,
New Scale Technologies,,,
New York University,NYU,ROR,0190ak572
Nikon,,ROR,0280y9h11
Olympus,,ROR,02vcdte90
Open Ephys Production Site,OEPS,ROR,007rkz355
Optotune,,,
Other,,,
Oxxius,,,
Placid Industries,,,
Prizmatix,,,
Quantifi,,,
Raspberry Pi,,,
Same Sky,,,
SICGEN,,,
Schneider-Kreuznach,,,
Second Order Effects,,,
Semrock,,,
Sigma-Aldrich,,,
Simons Foundation,,ROR,01cmst727
Spectra-Physics,,ROR,02ad9kp97
Spinnaker,,,
Tamron,,,
Technical Manufacturing Corporation,TMC,,
TE Connectivity,,ROR,034frgp20
Teledyne FLIR,FLIR,ROR,01j1gwp17
Teledyne Vision Solutions,,,
Templeton World Charity Foundation,TWCF,ROR,00x0z1472
The Imaging Source,,,
The Lee Company,,,
Thermo Fisher Scientific,,ROR,03x1ewr52
Thorlabs,,ROR,04gsnvb07
Transducer Techniques,,,
Tymphany,,,
"University of California, San Diego",UCSD,ROR,0168r3w48
University of Pennsylvania,UPENN,ROR,00b30xv10
Unknown,UNKNOWN,,
Vieworks,,,
Vortran,,,
