title,DOI,version
Solenoid Valve Calibration for Behavior Rigs Utilizing Water Reward,10.17504/protocols.io.261gerq7dl47/v1,1
Running a Dynamic Foraging Behavior Task in Mice,10.17504/protocols.io.5jyl8p4m6g2w/v1,1
Whole Brain Embedding for SmartSPIM - EasyIndex with 2% Agarose,10.17504/protocols.io.3byl4jpn8lo5/v1,1
Stereotaxic Injection by Nanoject Protocol,10.17504/protocols.io.bd8qi9vw,1
Stereotaxic Injection by Nanoject Protocol,10.17504/protocols.io.besfjebn,2
Stereotaxic Injection by Nanoject Protocol,10.17504/protocols.io.bgpujvnw,3
Stereotaxic Injection by Nanoject Protocol,10.17504/protocols.io.bp2l6nr7kgqe/v4,4
Stereotaxic Injection by Nanoject Protocol,10.17504/protocols.io.bp2l6nr7kgqe/v5,5
Stereotaxic Injection by Nanoject Protocol,10.17504/protocols.io.bp2l6nr7kgqe/v6,6
Stereotaxic Injection by Nanoject Protocol,10.17504/protocols.io.bp2l6nr7kgqe/v7,7
Stereotaxic Injection by Iontophoresis,10.17504/protocols.io.bd8ti9wn,1
Stereotaxic Injection by Iontophoresis,10.17504/protocols.io.besgjebw,2
Stereotaxic Injection by Iontophoresis,10.17504/protocols.io.bgpvjvn6,3
Stereotaxic Injection by Iontophoresis,10.17504/protocols.io.14egn8ewzg5d/v4,4
Stereotaxic Injection by Iontophoresis,10.17504/protocols.io.14egn8ewzg5d/v5,5
Stereotaxic Injection by Iontophoresis,10.17504/protocols.io.14egn8ewzg5d/v6,6
Stereotaxic Injection by Iontophoresis,10.17504/protocols.io.14egn8ewzg5d/v7,7
Mouse Habituation - Head Fixation into Tube,10.17504/protocols.io.rm7vzxd74gx1/v1,1
Mouse Water Restriction,10.17504/protocols.io.x54v9pn34g3e/v1,1
Modified Frame-projected  Independent Fiber  Photometry (FIP) System_Hardware,10.17504/protocols.io.261ge39edl47/v1,1
Modified Frame-projected  Independent Fiber  Photometry (FIP) System_Hardware,10.17504/protocols.io.261ge39edl47/v2,2
Making Agarose for use in acute in vivo Electrophysiology Experiments ,10.17504/protocols.io.5jyl8py89g2w/v1,1
Plug Removal for acute in vivo Electrophysiology Experiments,10.17504/protocols.io.eq2lywz8qvx9/v1,1
Intraperitoneal Injection in an Adult Mouse,10.17504/protocols.io.bfzgjp3w,1
Intraperitoneal Injection in an Adult Mouse,10.17504/protocols.io.5qpvo5w8dl4o/v2,2
Multiplexed RNA FISH on Expanded Mouse Brain Slices,10.17504/protocols.io.dm6gpzj28lzp/v1,1
General Setup and Takedown Procedures for Rodent Neurosurgery,10.17504/protocols.io.kqdg392o7g25/v1,1
General Setup and Takedown Procedures for Rodent Neurosurgery,10.17504/protocols.io.kqdg392o7g25/v2,2
Dual Hemisphere Craniotomy for Electrophysiology,10.17504/protocols.io.rm7vzjoe2lx1/v1,1
Aqueous (SBiP) Delipidation for Whole Mouse Brain After morphoFISH Perfusion ,10.17504/protocols.io.rm7vzjz54lx1/v1,1
Mouse Habituation - Head Fixation on Disk,10.17504/protocols.io.j8nlkojmxv5r/v1,1
Mouse Habituation - Head Fixation on Disk,10.17504/protocols.io.j8nlkojmxv5r/v2,2
Preparation of Lipopolysaccharide for Intraperitoneal Injection,10.17504/protocols.io.14egn9y1ml5d/v1,1
Temporal Assessment of Immune Response,10.17504/protocols.io.5jyl8dqx6g2w/v1,1
