name,abbreviation
Barcoded anatomy resolved by sequencing,BARseq
Behavior,behavior
Behavior videos,behavior-videos
Brightfield microscopy,brightfield
Confocal microscopy,confocal
Electromyography,EMG
Electron microscopy,EM
Extracellular electrophysiology,ecephys
Fiber photometry,fib
Fluorescence micro-optical sectioning tomography,fMOST
Intracellular electrophysiology,icephys
Intrinsic signal imaging,ISI
Magnetic resonance imaging,MRI
Multiplexed analysis of projections by sequencing,MAPseq
Multiplexed error-robust fluorescence in situ hybridization,merfish
Planar optical physiology,pophys
Random access projection microscopy,slap2
Selective plane illumination microscopy,SPIM
Serial two-photon tomogrophy,STPT
Single cell RNA sequencing,scRNAseq
