curie,label,retrieved_at
ROR:04rswrd78,Iowa State University,2025-10-30T12:41:04.536804
ROR:05gvnxz63,Argonne National Laboratory,2025-10-30T12:41:04.700386
ROR:02ex6cf31,Brookhaven National Laboratory,2025-10-30T12:41:04.865118
ROR:00f0xfr56,,2025-10-30T12:41:05.050040
ROR:053c7kp53,,2025-10-30T12:41:05.228054
ROR:02jbv0t02,Lawrence Berkeley National Laboratory,2025-10-30T12:41:05.413290
ROR:041nk4h53,Lawrence Livermore National Laboratory,2025-10-30T12:41:05.595804
ROR:01e41cf67,Los Alamos National Laboratory,2025-10-30T12:41:05.773286
ROR:04r5sk780,,2025-10-30T12:41:05.944092
ROR:036266993,National Renewable Energy Laboratory,2025-10-30T12:41:06.115412
ROR:01qz5mb56,Oak Ridge National Laboratory,2025-10-30T12:41:06.298735
ROR:05h992307,Pacific Northwest National Laboratory,2025-10-30T12:41:06.477145
ROR:04xjtem40,,2025-10-30T12:41:06.664506
ROR:02v76kc16,,2025-10-30T12:41:06.842304
ROR:018za2945,,2025-10-30T12:41:07.082785
ROR:05gzmn429,SLAC National Accelerator Laboratory,2025-10-30T12:41:07.246873
ROR:0438yse79,,2025-10-30T12:41:07.423810
ROR:041m9xr71,Ames National Laboratory,2025-10-30T18:27:22.531907
ROR:020hgte69,Fermi National Accelerator Laboratory,2025-10-30T18:27:23.076525
ROR:00ty2a548,Idaho National Laboratory,2025-10-30T18:27:23.256817
ROR:01x26mz03,National Energy Technology Laboratory,2025-10-30T18:27:24.004264
ROR:03vn1ts68,Princeton Plasma Physics Laboratory,2025-10-30T18:27:24.749880
ROR:01apwpt12,Sandia National Laboratories,2025-10-30T18:27:24.956638
ROR:05vc7qy59,Savannah River National Laboratory,2025-10-30T18:27:25.135921
ROR:02vwzrd76,Thomas Jefferson National Accelerator Facility,2025-10-30T18:27:26.271386
ROR:01cwqze88,National Institutes of Health,2025-10-31T16:47:58.093567
ROR:021nxhr62,U.S. National Science Foundation,2025-10-31T16:47:58.305463
ROR:01bj3aw27,United States Department of Energy,2025-10-31T16:47:58.491493
ROR:027ka1x80,National Aeronautics and Space Administration,2025-10-31T16:47:58.692965
ROR:03tns0030,Environmental Protection Agency,2025-10-31T16:47:58.910669
ROR:02z5nhe81,National Oceanic and Atmospheric Administration,2025-10-31T16:47:59.100362
ROR:05xpvk416,National Institute of Standards and Technology,2025-10-31T16:47:59.284631
ROR:02d2m2044,Agricultural Research Service,2025-10-31T16:47:59.482397
ROR:0447fe631,United States Department of Defense,2025-10-31T16:47:59.667196
ROR:035a68863,United States Geological Survey,2025-10-31T16:47:59.851318
ROR:02t771148,National Cancer Institute,2025-10-31T16:48:00.030494
ROR:012pb6c26,National Heart Lung and Blood Institute,2025-10-31T16:48:00.220350
ROR:043z4tv69,National Institute of Allergy and Infectious Diseases,2025-10-31T16:48:00.414162
ROR:04t0s7x83,National Institute of Mental Health,2025-10-31T16:48:00.606150
ROR:01s5ya894,National Institute of Neurological Disorders and Stroke,2025-10-31T16:48:00.804273
ROR:00adh9b73,National Institute of Diabetes and Digestive and Kidney Diseases,2025-10-31T16:48:01.009580
ROR:00baak391,National Human Genome Research Institute,2025-10-31T16:48:01.241264
ROR:04q48ey07,National Institute of General Medical Sciences,2025-10-31T16:48:01.425151
ROR:00j4k1h63,National Institute of Environmental Health Sciences,2025-10-31T16:48:01.619540
ROR:03wkg3b53,National Eye Institute,2025-10-31T16:48:01.807619
ROR:049v75w11,National Institute on Aging,2025-10-31T16:48:02.018197
ROR:0060t0j89,United States National Library of Medicine,2025-10-31T16:48:02.260485
ROR:004s85t07,International Organization for Standardization,2025-10-31T16:48:02.456864
ROR:0059y1582,World Wide Web Consortium,2025-10-31T16:48:02.677950
ROR:01n002310,Institute of Electrical and Electronics Engineers,2025-10-31T16:48:02.904279
ROR:029ga8k16,Health Level Seven International,2025-10-31T16:48:03.086425
ROR:01f80g185,World Health Organization,2025-10-31T16:48:03.272135
ROR:04h4z8k05,UNESCO,2025-10-31T16:48:03.458793
ROR:00gtfax65,International Atomic Energy Agency,2025-10-31T16:48:03.640425
ROR:011pjwf87,World Meteorological Organization,2025-10-31T16:48:03.836400
ROR:015z29x25,United Nations Environment Programme,2025-10-31T16:48:04.024396
ROR:02catss52,European Bioinformatics Institute,2025-12-14T23:20:38.605985
ROR:02meqm098,National Center for Biotechnology Information,2025-12-14T23:20:38.792977
